

****************
Part B
****************

Solution for Part B with n = 64, omega = 1, and rho max = 2 took 5.86833 seconds
Reached specified tolerance of (1E-10) in 7408 iterations
This translates to 1.81 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
3.5290885271  3.5290885271  3.5290885271
11.161529039  11.161529039  11.161529039
23.491024803  23.491024803  23.491024803
40.684172588  40.684172588  40.684172588
62.715921785  62.715921785  62.715921785
89.537131958  89.537131958  89.537131958
121.08576343  121.08576343  121.08576343
157.28834595  157.28834595  157.28834595
198.06041810  198.06041810  198.06041810
243.30679958  243.30679958  243.30679958
292.92183948  292.92183948  292.92183948
346.78967359  346.78967359  346.78967359
404.78449967  404.78449967  404.78449967
466.77087362  466.77087362  466.77087362
532.60402707  532.60402707  532.60402707
602.13020619  602.13020619  602.13020619
675.18703113  675.18703113  675.18703113
751.60387557  751.60387557  751.60387557
831.20226539  831.20226539  831.20226539
913.79629553  913.79629553  913.79629553
999.19306433  999.19306433  999.19306433
1087.1931240  1087.1931240  1087.1931240
1177.5909467  1177.5909467  1177.5909467
1270.1754044  1270.1754044  1270.1754044
1364.7302617  1364.7302617  1364.7302617
1461.0346817  1461.0346817  1461.0346817
1558.8637408  1558.8637408  1558.8637408
1657.9889548  1657.9889548  1657.9889548
1758.1788122  1758.1788122  1758.1788122
1859.1993147  1859.1993147  1859.1993147
1960.8145243  1960.8145243  1960.8145243
2062.7871138  2062.7871138  2062.7871138
2164.8789212  2164.8789212  2164.8789212
2266.8515062  2266.8515062  2266.8515062
2368.4667068  2368.4667068  2368.4667068
2469.4871957  2469.4871957  2469.4871957
2569.6770344  2569.6770344  2569.6770344
2668.8022245  2668.8022245  2668.8022245
2766.6312539  2766.6312539  2766.6312539
2862.9356376  2862.9356376  2862.9356376
2957.4904515  2957.4904515  2957.4904515
3050.0748574  3050.0748574  3050.0748574
3140.4726188  3140.4726188  3140.4726188
3228.4726061  3228.4726061  3228.4726061
3313.8692891  3313.8692891  3313.8692891
3396.4632176  3396.4632176  3396.4632176
3476.0614864  3476.0614864  3476.0614864
3552.4781860  3552.4781860  3552.4781860
3625.5348363  3625.5348363  3625.5348363
3695.0608029  3695.0608029  3695.0608029
3760.8936951  3760.8936951  3760.8936951
3822.8797437  3822.8797437  3822.8797437
3880.8741580  3880.8741580  3880.8741580
3934.7414616  3934.7414616  3934.7414616
3984.3558026  3984.3558026  3984.3558026
4029.6012381  4029.6012381  4029.6012381
4070.3719866  4070.3719866  4070.3719866
4106.5726373  4106.5726373  4106.5726373
4138.1182908  4138.1182908  4138.1182908
4164.9345572  4164.9345572  4164.9345572
4186.9571733  4186.9571733  4186.9571733
4204.1303034  4204.1303034  4204.1303034
4216.3986855  4216.3986855  4216.3986855
4223.7376286  4223.7376286  4223.7376286
The Unit Tests have PASSED
