

****************
Part B
****************

Solution for Part B with n = 64, omega = 5, and rho max = 12 took 1.95287 seconds
Reached specified tolerance of (1E-10) in 2510 iterations
This translates to 0.61 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
14.728328579  14.728328579  14.728328579
33.611017059  33.611017059  33.611017059
51.521053928  51.521053928  51.521053928
68.359115068  68.359115068  68.359115068
83.982827180  83.982827180  83.982827180
98.166511079  98.166511079  98.166511079
110.60837622  110.60837622  110.60837622
121.89829377  121.89829377  121.89829377
134.38930563  134.38930563  134.38930563
149.16839293  149.16839293  149.16839293
166.08123672  166.08123672  166.08123672
184.96014273  184.96014273  184.96014273
205.71490781  205.71490781  205.71490781
228.29294381  228.29294381  228.29294381
252.66110625  252.66110625  252.66110625
278.79735372  278.79735372  278.79735372
306.68643702  306.68643702  306.68643702
336.31747548  336.31747548  336.31747548
367.68250865  367.68250865  367.68250865
400.77558943  400.77558943  400.77558943
435.59219487  435.59219487  435.59219487
472.12883140  472.12883140  472.12883140
510.38276351  510.38276351  510.38276351
550.35182317  550.35182317  550.35182317
592.03427334  592.03427334  592.03427334
635.42870851  635.42870851  635.42870851
680.53398129  680.53398129  680.53398129
727.34914725  727.34914725  727.34914725
775.87342324  775.87342324  775.87342324
826.10615528  826.10615528  826.10615528
878.04679378  878.04679378  878.04679378
931.69487410  931.69487410  931.69487410
987.05000124  987.05000124  987.05000124
1044.1118376  1044.1118376  1044.1118376
1102.8800935  1102.8800935  1102.8800935
1163.3545189  1163.3545189  1163.3545189
1225.5348970  1225.5348970  1225.5348970
1289.4210396  1289.4210396  1289.4210396
1355.0127822  1355.0127822  1355.0127822
1422.3099805  1422.3099805  1422.3099805
1491.3125079  1491.3125079  1491.3125079
1562.0202524  1562.0202524  1562.0202524
1634.4331152  1634.4331152  1634.4331152
1708.5510085  1708.5510085  1708.5510085
1784.3738540  1784.3738540  1784.3738540
1861.9015820  1861.9015820  1861.9015820
1941.1341302  1941.1341302  1941.1341302
2022.0714425  2022.0714425  2022.0714425
2104.7134688  2104.7134688  2104.7134688
2189.0601636  2189.0601636  2189.0601636
2275.1114860  2275.1114860  2275.1114860
2362.8673991  2362.8673991  2362.8673991
2452.3278692  2452.3278692  2452.3278692
2543.4928660  2543.4928660  2543.4928660
2636.3623616  2636.3623616  2636.3623616
2730.9363308  2730.9363308  2730.9363308
2827.2147506  2827.2147506  2827.2147506
2925.1975998  2925.1975998  2925.1975998
3024.8848591  3024.8848591  3024.8848591
3126.2765109  3126.2765109  3126.2765109
3229.3725630  3229.3725630  3229.3725630
3334.1764760  3334.1764760  3334.1764760
3440.9419529  3440.9419529  3440.9419529
3556.4507297  3556.4507297  3556.4507297
The Unit Tests have PASSED
