

****************
Part B
****************

Solution for Part B with n = 64, omega = 5, and rho max = 2 took 5.60835 seconds
Reached specified tolerance of (1E-10) in 7390 iterations
This translates to 1.80 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
14.992603518  14.992603518  14.992603518
34.963741037  34.963741037  34.963741037
54.943089542  54.943089542  54.943089542
75.318889417  75.318889417  75.318889417
97.624408849  97.624408849  97.624408849
123.83956507  123.83956507  123.83956507
154.81734315  154.81734315  154.81734315
190.61032662  190.61032662  190.61032662
231.09488368  231.09488368  231.09488368
276.13470031  276.13470031  276.13470031
325.59695582  325.59695582  325.59695582
379.34869566  379.34869566  379.34869566
437.25319633  437.25319633  437.25319633
499.16783229  499.16783229  499.16783229
564.94297212  564.94297212  564.94297212
634.42147813  634.42147813  634.42147813
707.43855765  707.43855765  707.43855765
783.82182582  783.82182582  783.82182582
863.39150130  863.39150130  863.39150130
945.96068986  945.96068986  945.96068986
1031.3357287  1031.3357287  1031.3357287
1119.3165757  1119.3165757  1119.3165757
1209.6972313  1209.6972313  1209.6972313
1302.2661880  1302.2661880  1302.2661880
1396.8069010  1396.8069010  1396.8069010
1493.0982765  1493.0982765  1493.0982765
1590.9151749  1590.9151749  1590.9151749
1690.0289266  1690.0289266  1690.0289266
1790.2078581  1790.2078581  1790.2078581
1891.2178268  1891.2178268  1891.2178268
1992.8227626  1992.8227626  1992.8227626
2094.7852146  2094.7852146  2094.7852146
2196.8669018  2196.8669018  2196.8669018
2298.8292657  2298.8292657  2298.8292657
2400.4340243  2400.4340243  2400.4340243
2501.4437241  2501.4437241  2501.4437241
2601.6222914  2601.6222914  2601.6222914
2700.7355786  2700.7355786  2700.7355786
2798.5519058  2798.5519058  2798.5519058
2894.8425956  2894.8425956  2894.8425956
2989.3824988  2989.3824988  2989.3824988
3081.9505102  3081.9505102  3081.9505102
3172.3300721  3172.3300721  3172.3300721
3260.3096622  3260.3096622  3260.3096622
3345.6832651  3345.6832651  3345.6832651
3428.2508214  3428.2508214  3428.2508214
3507.8186523  3507.8186523  3507.8186523
3584.1998508  3584.1998508  3584.1998508
3657.2146317  3657.2146317  3657.2146317
3726.6906242  3726.6906242  3726.6906242
3792.4630864  3792.4630864  3792.4630864
3854.3749996  3854.3749996  3854.3749996
3912.2769801  3912.2769801  3912.2769801
3966.0268851  3966.0268851  3966.0268851
4015.4888866  4015.4888866  4015.4888866
4060.5315546  4060.5315546  4060.5315546
4101.0239543  4101.0239543  4101.0239543
4136.8273905  4136.8273905  4136.8273905
4167.7763566  4167.7763566  4167.7763566
4193.6272315  4193.6272315  4193.6272315
4213.9430002  4213.9430002  4213.9430002
4229.8499623  4229.8499623  4229.8499623
4249.0469962  4249.0469962  4249.0469962
4278.3269934  4278.3269934  4278.3269934
The Unit Tests have PASSED
