

****************
Part B
****************

Solution for Part B with n = 128, omega = 1, and rho max = 2 took 90.7479 seconds
Reached specified tolerance of (1E-10) in 30064 iterations
This translates to 1.83 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
3.5294946807  3.5294946808  3.5294946807
11.167310356  11.167310356  11.167310356
23.520072905  23.520072905  23.520072905
40.775817453  40.775817453  40.775817453
62.939403435  62.939403435  62.939403435
89.999998286  89.999998286  89.999998286
121.94215416  121.94215416  121.94215416
158.74713951  158.74713951  158.74713951
200.39321758  200.39321758  200.39321758
246.85573412  246.85573412  246.85573412
298.10715792  298.10715792  298.10715792
354.11710762  354.11710762  354.11710762
414.85237441  414.85237441  414.85237441
480.27694404  480.27694404  480.27694404
550.35201940  550.35201940  550.35201940
625.03604426  625.03604426  625.03604426
704.28472823  704.28472823  704.28472823
788.05107334  788.05107334  788.05107334
876.28540205  876.28540205  876.28540205
968.93538677  968.93538677  968.93538677
1065.9460810  1065.9460810  1065.9460810
1167.2599520  1167.2599520  1167.2599520
1272.8169149  1272.8169149  1272.8169149
1382.5543682  1382.5543682  1382.5543682
1496.4072313  1496.4072313  1496.4072313
1614.3079827  1614.3079827  1614.3079827
1736.1867002  1736.1867002  1736.1867002
1861.9711027  1861.9711027  1861.9711027
1991.5865924  1991.5865924  1991.5865924
2124.9562996  2124.9562996  2124.9562996
2262.0011280  2262.0011280  2262.0011280
2402.6398020  2402.6398020  2402.6398020
2546.7889144  2546.7889144  2546.7889144
2694.3629759  2694.3629759  2694.3629759
2845.2744665  2845.2744665  2845.2744665
2999.4338864  2999.4338864  2999.4338864
3156.7498099  3156.7498099  3156.7498099
3317.1289392  3317.1289392  3317.1289392
3480.4761598  3480.4761598  3480.4761598
3646.6945970  3646.6945970  3646.6945970
3815.6856731  3815.6856731  3815.6856731
3987.3491664  3987.3491664  3987.3491664
4161.5832700  4161.5832700  4161.5832700
4338.2846526  4338.2846526  4338.2846526
4517.3485197  4517.3485197  4517.3485197
4698.6686755  4698.6686755  4698.6686755
4882.1375863  4882.1375863  4882.1375863
5067.6464440  5067.6464440  5067.6464440
5255.0852307  5255.0852307  5255.0852307
5444.3427837  5444.3427837  5444.3427837
5635.3068620  5635.3068620  5635.3068620
5827.8642125  5827.8642125  5827.8642125
6021.9006368  6021.9006368  6021.9006368
6217.3010598  6217.3010598  6217.3010598
6413.9495973  6413.9495973  6413.9495973
6611.7296246  6611.7296246  6611.7296246
6810.5238465  6810.5238465  6810.5238465
7010.2143659  7010.2143659  7010.2143659
7210.6827543  7210.6827543  7210.6827543
7411.8101219  7411.8101219  7411.8101219
7613.4771879  7613.4771879  7613.4771879
7815.5643516  7815.5643516  7815.5643516
8017.9517633  8017.9517633  8017.9517633
8220.5193948  8220.5193948  8220.5193948
8423.1471115  8423.1471115  8423.1471115
8625.7147427  8625.7147427  8625.7147427
8828.1021538  8828.1021538  8828.1021538
9030.1893167  9030.1893167  9030.1893167
9231.8563816  9231.8563816  9231.8563816
9432.9837476  9432.9837476  9432.9837476
9633.4521343  9633.4521343  9633.4521343
9833.1426516  9833.1426516  9833.1426516
10031.936871  10031.936871  10031.936871
10229.716895  10229.716895  10229.716895
10426.365430  10426.365430  10426.365430
10621.765849  10621.765849  10621.765849
10815.802270  10815.802270  10815.802270
11008.359616  11008.359616  11008.359616
11199.323690  11199.323690  11199.323690
11388.581237  11388.581237  11388.581237
11576.020018  11576.020018  11576.020018
11761.528870  11761.528870  11761.528870
11944.997774  11944.997774  11944.997774
12126.317923  12126.317923  12126.317923
12305.381782  12305.381782  12305.381782
12482.083156  12482.083156  12482.083156
12656.317250  12656.317250  12656.317250
12827.980733  12827.980733  12827.980733
12996.971798  12996.971798  12996.971798
13163.190223  13163.190223  13163.190223
13326.537430  13326.537430  13326.537430
13486.916545  13486.916545  13486.916545
13644.232453  13644.232453  13644.232453
13798.391856  13798.391856  13798.391856
13949.303327  13949.303327  13949.303327
14096.877368  14096.877368  14096.877368
14241.026458  14241.026458  14241.026458
14381.665106  14381.665106  14381.665106
14518.709907  14518.709907  14518.709907
14652.079583  14652.079583  14652.079583
14781.695039  14781.695039  14781.695039
14907.479403  14907.479403  14907.479403
15029.358077  15029.358077  15029.358077
15147.258780  15147.258780  15147.258780
15261.111589  15261.111589  15261.111589
15370.848980  15370.848980  15370.848980
15476.405872  15476.405872  15476.405872
15577.719662  15577.719662  15577.719662
15674.730263  15674.730263  15674.730263
15767.380138  15767.380138  15767.380138
15855.614339  15855.614339  15855.614339
15939.380533  15939.380533  15939.380533
16018.629037  16018.629037  16018.629037
16093.312844  16093.312844  16093.312844
16163.387654  16163.387654  16163.387654
16228.811893  16228.811893  16228.811893
16289.546745  16289.546745  16289.546745
16345.556160  16345.556160  16345.556160
16396.806882  16396.806882  16396.806882
16443.268450  16443.268450  16443.268450
16484.913202  16484.913202  16484.913202
16521.716253  16521.716253  16521.716253
16553.655429  16553.655429  16553.655429
16580.711079  16580.711079  16580.711079
16602.865531  16602.865531  16602.865531
16620.101258  16620.101258  16620.101258
16632.392911  16632.392911  16632.392911
16639.737212  16639.737212  16639.737212
The Unit Tests have PASSED
