

****************
Part B
****************

Solution for Part B with n = 16, omega = 1, and rho max = 6 took 0.046489 seconds
Reached specified tolerance of (1E-10) in 399 iterations
This translates to 1.56 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
2.9605046568  2.9605046568  2.9605046568
6.7993984773  6.7993984773  6.7993984773
10.501727478  10.501727478  10.501727478
14.058736823  14.058736823  14.058736823
17.459551227  17.459551227  17.459551227
20.690390218  20.690390218  20.690390218
23.733942604  23.733942604  23.733942604
26.568278552  26.568278552  26.568278552
29.158227593  29.158227593  29.158227593
31.469952938  31.469952938  31.469952938
33.728346590  33.728346590  33.728346590
36.417998680  36.417998680  36.417998680
39.767597623  39.767597623  39.767597623
43.943624871  43.943624871  43.943624871
49.288526852  49.288526852  49.288526852
56.695024875  56.695024875  56.695024875
The Unit Tests have PASSED
