

****************
Part B
****************

Solution for Part B with n = 64, omega = 1, and rho max = 6 took 5.62364 seconds
Reached specified tolerance of (1E-10) in 7060 iterations
This translates to 1.72 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
2.9973347189  2.9973347189  2.9973347189
6.9866604528  6.9866604528  6.9866604528
10.967417379  10.967417379  10.967417379
14.939579995  14.939579995  14.939579995
18.903206745  18.903206745  18.903206745
22.859916701  22.859916701  22.859916701
26.826118202  26.826118202  26.826118202
30.882793687  30.882793687  30.882793687
35.212349501  35.212349501  35.212349501
39.993592645  39.993592645  39.993592645
45.297140429  45.297140429  45.297140429
51.120011352  51.120011352  51.120011352
57.438812614  57.438812614  57.438812614
64.228515483  64.228515483  64.228515483
71.465600904  71.465600904  71.465600904
79.127776705  79.127776705  79.127776705
87.193350203  87.193350203  87.193350203
95.640761767  95.640761767  95.640761767
104.44828981  104.44828981  104.44828981
113.59387561  113.59387561  113.59387561
123.05502557  123.05502557  123.05502557
132.80876354  132.80876354  132.80876354
142.83161557  142.83161557  142.83161557
153.09961662  153.09961662  153.09961662
163.58833205  163.58833205  163.58833205
174.27288962  174.27288962  174.27288962
185.12801907  185.12801907  185.12801907
196.12809701  196.12809701  196.12809701
207.24719598  207.24719598  207.24719598
218.45913641  218.45913641  218.45913641
229.73754087  229.73754087  229.73754087
241.05588984  241.05588984  241.05588984
252.38757868  252.38757868  252.38757868
263.70597514  263.70597514  263.70597514
274.98447726  274.98447726  274.98447726
286.19657117  286.19657117  286.19657117
297.31588840  297.31588840  297.31588840
308.31626245  308.31626245  308.31626245
319.17178403  319.17178403  319.17178403
329.85685467  329.85685467  329.85685467
340.34623798  340.34623798  340.34623798
350.61510788  350.61510788  350.61510788
360.63909293  360.63909293  360.63909293
370.39431526  370.39431526  370.39431526
379.85742266  379.85742266  379.85742266
389.00561093  389.00561093  389.00561093
397.81663303  397.81663303  397.81663303
406.26878924  406.26878924  406.26878924
414.34088956  414.34088956  414.34088956
422.01217417  422.01217417  422.01217417
429.26216825  429.26216825  429.26216825
436.07042992  436.07042992  436.07042992
442.41611563  442.41611563  442.41611563
448.27721425  448.27721425  448.27721425
453.62913220  453.62913220  453.62913220
458.44186158  458.44186158  458.44186158
462.67351659  462.67351659  462.67351659
466.25449482  466.25449482  466.25449482
469.15163048  469.15163048  469.15163048
471.97134318  471.97134318  471.97134318
475.55649114  475.55649114  475.55649114
480.12207881  480.12207881  480.12207881
485.92829029  485.92829029  485.92829029
493.79287003  493.79287003  493.79287003
The Unit Tests have PASSED
