

****************
Part B
****************

Solution for Part B with n = 64, omega = 5, and rho max = 6 took 4.67093 seconds
Reached specified tolerance of (1E-10) in 6304 iterations
This translates to 1.54 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
14.933108569  14.933108569  14.933108569
34.663850208  34.663850208  34.663850208
54.175300520  54.175300520  54.175300520
73.463600629  73.463600629  73.463600629
92.524657435  92.524657435  92.524657435
111.35411922  111.35411922  111.35411922
129.94734760  129.94734760  129.94734760
148.29938503  148.29938503  148.29938503
166.40491702  166.40491702  166.40491702
184.25822779  184.25822779  184.25822779
201.85314796  201.85314796  201.85314796
219.18299222  219.18299222  219.18299222
236.24048452  236.24048452  236.24048452
253.01766731  253.01766731  253.01766731
269.50579024  269.50579024  269.50579024
285.69517200  285.69517200  285.69517200
301.57502642  301.57502642  301.57502642
317.13324009  317.13324009  317.13324009
332.35608283  332.35608283  332.35608283
347.22782272  347.22782272  347.22782272
361.73020150  361.73020150  361.73020150
375.84169825  375.84169825  375.84169825
389.53645853  389.53645853  389.53645853
402.78266620  402.78266620  402.78266620
415.53992308  415.53992308  415.53992308
427.75470275  427.75470275  427.75470275
439.35166917  439.35166917  439.35166917
450.21673650  450.21673650  450.21673650
460.19371054  460.19371054  460.19371054
469.34281369  469.34281369  469.34281369
478.51440296  478.51440296  478.51440296
488.58264479  488.58264479  488.58264479
499.63525699  499.63525699  499.63525699
511.52920590  511.52920590  511.52920590
524.15983075  524.15983075  524.15983075
537.46019790  537.46019790  537.46019790
551.38445127  551.38445127  551.38445127
565.89924071  565.89924071  565.89924071
580.97926720  580.97926720  580.97926720
596.60473724  596.60473724  596.60473724
612.75979426  612.75979426  612.75979426
629.43149574  629.43149574  629.43149574
646.60911597  646.60911597  646.60911597
664.28365378  664.28365378  664.28365378
682.44747524  682.44747524  682.44747524
701.09405121  701.09405121  701.09405121
720.21777907  720.21777907  720.21777907
739.81395696  739.81395696  739.81395696
759.87929812  759.87929812  759.87929812
780.41455960  780.41455960  780.41455960
801.43426536  801.43426536  801.43426536
822.99407731  822.99407731  822.99407731
845.24267382  845.24267382  845.24267382
868.46767456  868.46767456  868.46767456
893.06713855  893.06713855  893.06713855
919.45150586  919.45150586  919.45150586
947.98559167  947.98559167  947.98559167
979.02048748  979.02048748  979.02048748
1012.9706828  1012.9706828  1012.9706828
1050.4074523  1050.4074523  1050.4074523
1092.1963406  1092.1963406  1092.1963406
1139.7778100  1139.7778100  1139.7778100
1195.9245191  1195.9245191  1195.9245191
1267.7867583  1267.7867583  1267.7867583
The Unit Tests have PASSED
