

****************
Part B
****************

Solution for Part B with n = 128, omega = 5, and rho max = 12 took 44.1673 seconds
Reached specified tolerance of (1E-10) in 17152 iterations
This translates to 1.05 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
14.932062290  14.932062290  14.932062290
34.658564682  34.658564682  34.658564682
54.162258108  54.162258108  54.162258108
73.439154457  73.439154457  73.439154457
92.485019236  92.485019236  92.485019236
111.29534544  111.29534544  111.29534544
129.86532344  129.86532344  129.86532344
148.18980596  148.18980596  148.18980596
166.26326726  166.26326726  166.26326726
184.07975514  184.07975514  184.07975514
201.63283393  201.63283393  201.63283393
218.91551657  218.91551657  218.91551657
235.92018244  235.92018244  235.92018244
252.63847744  252.63847744  252.63847744
269.06119065  269.06119065  269.06119065
285.17810030  285.17810030  285.17810030
300.97777861  300.97777861  300.97777861
316.44734021  316.44734021  316.44734021
331.57211157  331.57211157  331.57211157
346.33518674  346.33518674  346.33518674
360.71681416  360.71681416  360.71681416
374.69352273  374.69352273  374.69352273
388.23682644  388.23682644  388.23682644
401.31120671  401.31120671  401.31120671
413.87076113  413.87076113  413.87076113
425.85313867  425.85313867  425.85313867
437.16751233  437.16751233  437.16751233
447.67515620  447.67515620  447.67515620
457.25045884  457.25045884  457.25045884
466.28331927  466.28331927  466.28331927
475.83562341  475.83562341  475.83562341
486.40388874  486.40388874  486.40388874
497.89804725  497.89804725  497.89804725
510.18601833  510.18601833  510.18601833
523.18281600  523.18281600  523.18281600
536.83251785  536.83251785  536.83251785
551.09566697  551.09566697  551.09566697
565.94297213  565.94297213  565.94297213
581.35188454  581.35188454  581.35188454
597.30456750  597.30456750  597.30456750
613.78661015  613.78661015  613.78661015
630.78617040  630.78617040  630.78617040
648.29338077  648.29338077  648.29338077
666.29992291  666.29992291  666.29992291
684.79871473  684.79871473  684.79871473
703.78367508  703.78367508  703.78367508
723.24954339  723.24954339  723.24954339
743.19173910  743.19173910  743.19173910
763.60625053  763.60625053  763.60625053
784.48954589  784.48954589  784.48954589
805.83850129  805.83850129  805.83850129
827.65034184  827.65034184  827.65034184
849.92259308  849.92259308  849.92259308
872.65304055  872.65304055  872.65304055
895.83969599  895.83969599  895.83969599
919.48076877  919.48076877  919.48076877
943.57464172  943.57464172  943.57464172
968.11985043  968.11985043  968.11985043
993.11506562  993.11506562  993.11506562
1018.5590778  1018.5590778  1018.5590778
1044.4507841  1044.4507841  1044.4507841
1070.7891769  1070.7891769  1070.7891769
1097.5733337  1097.5733337  1097.5733337
1124.8024084  1124.8024084  1124.8024084
1152.4756237  1152.4756237  1152.4756237
1180.5922641  1180.5922641  1180.5922641
1209.1516702  1209.1516702  1209.1516702
1238.1532332  1238.1532332  1238.1532332
1267.5963905  1267.5963905  1267.5963905
1297.4806211  1297.4806211  1297.4806211
1327.8054419  1327.8054419  1327.8054419
1358.5704047  1358.5704047  1358.5704047
1389.7750929  1389.7750929  1389.7750929
1421.4191191  1421.4191191  1421.4191191
1453.5021220  1453.5021220  1453.5021220
1486.0237652  1486.0237652  1486.0237652
1518.9837344  1518.9837344  1518.9837344
1552.3817359  1552.3817359  1552.3817359
1586.2174951  1586.2174951  1586.2174951
1620.4907548  1620.4907548  1620.4907548
1655.2012743  1655.2012743  1655.2012743
1690.3488273  1690.3488273  1690.3488273
1725.9332018  1725.9332018  1725.9332018
1761.9541985  1761.9541985  1761.9541985
1798.4116299  1798.4116299  1798.4116299
1835.3053196  1835.3053196  1835.3053196
1872.6351016  1872.6351016  1872.6351016
1910.4008193  1910.4008193  1910.4008193
1948.6023250  1948.6023250  1948.6023250
1987.2394793  1987.2394793  1987.2394793
2026.3121507  2026.3121507  2026.3121507
2065.8202147  2065.8202147  2065.8202147
2105.7635536  2105.7635536  2105.7635536
2146.1420562  2146.1420562  2146.1420562
2186.9556169  2186.9556169  2186.9556169
2228.2041359  2228.2041359  2228.2041359
2269.8875183  2269.8875183  2269.8875183
2312.0056745  2312.0056745  2312.0056745
2354.5585190  2354.5585190  2354.5585190
2397.5459708  2397.5459708  2397.5459708
2440.9679531  2440.9679531  2440.9679531
2484.8243925  2484.8243925  2484.8243925
2529.1152196  2529.1152196  2529.1152196
2573.8403679  2573.8403679  2573.8403679
2618.9997745  2618.9997745  2618.9997745
2664.5933792  2664.5933792  2664.5933792
2710.6211248  2710.6211248  2710.6211248
2757.0829566  2757.0829566  2757.0829566
2803.9788226  2803.9788226  2803.9788226
2851.3086729  2851.3086729  2851.3086729
2899.0724602  2899.0724602  2899.0724602
2947.2701390  2947.2701390  2947.2701390
2995.9016659  2995.9016659  2995.9016659
3044.9669997  3044.9669997  3044.9669997
3094.4661005  3094.4661005  3094.4661005
3144.3989305  3144.3989305  3144.3989305
3194.7654536  3194.7654536  3194.7654536
3245.5656397  3245.5656397  3245.5656397
3296.7995397  3296.7995397  3296.7995397
3348.4683400  3348.4683400  3348.4683400
3400.5857001  3400.5857001  3400.5857001
3453.2632861  3453.2632861  3453.2632861
3507.0976814  3507.0976814  3507.0976814
3563.9430495  3563.9430495  3563.9430495
3626.9948718  3626.9948718  3626.9948718
3699.8951631  3699.8951631  3699.8951631
3787.4178601  3787.4178601  3787.4178601
3900.8017320  3900.8017320  3900.8017320
The Unit Tests have PASSED
