

****************
Part B
****************

Solution for Part B with n = 128, omega = 5, and rho max = 6 took 70.3778 seconds
Reached specified tolerance of (1E-10) in 27525 iterations
This translates to 1.68 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
14.983078336  14.983078336  14.983078336
34.915285580  34.915285580  34.915285580
54.793020661  54.793020661  54.793020661
74.616057346  74.616057346  74.616057346
94.384166247  94.384166247  94.384166247
114.09711474  114.09711474  114.09711474
133.75466691  133.75466691  133.75466691
153.35658345  153.35658345  153.35658345
172.90262158  172.90262158  172.90262158
192.39253498  192.39253498  192.39253498
211.82607369  211.82607369  211.82607369
231.20298405  231.20298405  231.20298405
250.52300854  250.52300854  250.52300854
269.78588578  269.78588578  269.78588578
288.99135034  288.99135033  288.99135033
308.13913268  308.13913268  308.13913268
327.22895908  327.22895908  327.22895908
346.26055144  346.26055144  346.26055144
365.23362726  365.23362726  365.23362726
384.14789945  384.14789945  384.14789945
403.00307625  403.00307625  403.00307625
421.79886109  421.79886109  421.79886109
440.53495247  440.53495247  440.53495247
459.21104378  459.21104378  459.21104378
477.82682321  477.82682321  477.82682321
496.38197359  496.38197359  496.38197359
514.87617222  514.87617222  514.87617222
533.30909069  533.30909069  533.30909069
551.68039479  551.68039479  551.68039479
569.98974426  569.98974426  569.98974426
588.23679262  588.23679262  588.23679262
606.42118705  606.42118705  606.42118705
624.54256809  624.54256809  624.54256809
642.60056954  642.60056954  642.60056954
660.59481822  660.59481822  660.59481822
678.52493407  678.52493407  678.52493407
696.39053165  696.39053165  696.39053165
714.19122872  714.19122872  714.19122872
731.92668717  731.92668717  731.92668717
749.59678011  749.59678011  749.59678011
767.20218483  767.20218483  767.20218483
784.74617436  784.74617436  784.74617436
802.23907054  802.23907054  802.23907054
819.70675611  819.70675611  819.70675611
837.20138138  837.20138138  837.20138138
854.80531644  854.80531644  854.80531644
872.61737956  872.61737956  872.61737956
890.72469725  890.72469725  890.72469725
909.18029043  909.18029043  909.18029043
928.00000319  928.00000319  928.00000319
947.17320339  947.17320339  947.17320339
966.67545119  966.67545119  966.67545119
986.47721153  986.47721153  986.47721153
1006.5483679  1006.5483679  1006.5483679
1026.8600855  1026.8600855  1026.8600855
1047.3853530  1047.3853530  1047.3853530
1068.0989641  1068.0989641  1068.0989641
1088.9773038  1088.9773038  1088.9773038
1109.9980942  1109.9980942  1109.9980942
1131.1401574  1131.1401574  1131.1401574
1152.3832132  1152.3832132  1152.3832132
1173.7077117  1173.7077117  1173.7077117
1195.0946977  1195.0946977  1195.0946977
1216.5257003  1216.5257003  1216.5257003
1237.9826432  1237.9826432  1237.9826432
1259.4477704  1259.4477704  1259.4477704
1280.9035849  1280.9035849  1280.9035849
1302.3327964  1302.3327964  1302.3327964
1323.7182764  1323.7182764  1323.7182764
1345.0430189  1345.0430189  1345.0430189
1366.2901037  1366.2901037  1366.2901037
1387.4426636  1387.4426636  1387.4426636
1408.4838518  1408.4838518  1408.4838518
1429.3968092  1429.3968092  1429.3968092
1450.1646318  1450.1646318  1450.1646318
1470.7703351  1470.7703351  1470.7703351
1491.1968150  1491.1968150  1491.1968150
1511.4268054  1511.4268054  1511.4268054
1531.4428279  1531.4428279  1531.4428279
1551.2271343  1551.2271343  1551.2271343
1570.7616384  1570.7616384  1570.7616384
1590.0278338  1590.0278338  1590.0278338
1609.0066937  1609.0066937  1609.0066937
1627.6785477  1627.6785477  1627.6785477
1646.0229272  1646.0229272  1646.0229272
1664.0183692  1664.0183692  1664.0183692
1681.6421636  1681.6421636  1681.6421636
1698.8700210  1698.8700210  1698.8700210
1715.6756264  1715.6756264  1715.6756264
1732.0300273  1732.0300273  1732.0300273
1747.9007650  1747.9007650  1747.9007650
1763.2506015  1763.2506015  1763.2506015
1778.0355622  1778.0355622  1778.0355622
1792.2017496  1792.2017496  1792.2017496
1805.6797305  1805.6797305  1805.6797305
1818.3735713  1818.3735713  1818.3735713
1830.1387166  1830.1387166  1830.1387166
1840.7838931  1840.7838931  1840.7838931
1850.4790793  1850.4790793  1850.4790793
1860.4244178  1860.4244178  1860.4244178
1871.5524011  1871.5524011  1871.5524011
1883.8607863  1883.8607863  1883.8607863
1897.1955447  1897.1955447  1897.1955447
1911.4638212  1911.4638212  1911.4638212
1926.6145168  1926.6145168  1926.6145168
1942.6207039  1942.6207039  1942.6207039
1959.4713112  1959.4713112  1959.4713112
1977.1669511  1977.1669511  1977.1669511
1995.7177357  1995.7177357  1995.7177357
2015.1421891  2015.1421891  2015.1421891
2035.4668550  2035.4668550  2035.4668550
2056.7264159  2056.7264159  2056.7264159
2078.9642533  2078.9642533  2078.9642533
2102.2334536  2102.2334536  2102.2334536
2126.5983228  2126.5983228  2126.5983228
2152.1365423  2152.1365423  2152.1365423
2178.9421871  2178.9421871  2178.9421871
2207.1299652  2207.1299652  2207.1299652
2236.8412641  2236.8412641  2236.8412641
2268.2529842  2268.2529842  2268.2529842
2301.5908702  2301.5908702  2301.5908702
2337.1504905  2337.1504905  2337.1504905
2375.3320630  2375.3320630  2375.3320630
2416.7024347  2416.7024347  2416.7024347
2462.1162058  2462.1162058  2462.1162058
2512.9861221  2512.9861221  2512.9861221
2572.0255342  2572.0255342  2572.0255342
2646.2472580  2646.2472580  2646.2472580
The Unit Tests have PASSED
