

****************
Part B
****************

Solution for Part B with n = 16, omega = 5, and rho max = 12 took 0.00845599 seconds
Reached specified tolerance of (1E-10) in 95 iterations
This translates to 0.37 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
16.363048135  16.363048135  16.363048135
53.883794899  53.883794899  53.883794899
116.14309465  116.14309465  116.14309465
203.33211265  203.33211265  203.33211265
315.43910632  315.43910632  315.43910632
452.46131779  452.46131779  452.46131779
614.39782809  614.39782809  614.39782809
801.24825884  801.24825884  801.24825884
1013.0124308  1013.0124308  1013.0124308
1249.6902501  1249.6902501  1249.6902501
1511.2816637  1511.2816637  1511.2816637
1797.7866398  1797.7866398  1797.7866398
2109.2051583  2109.2051583  2109.2051583
2445.5372061  2445.5372061  2445.5372061
2806.7827744  2806.7827744  2806.7827744
3192.9516548  3192.9516548  3192.9516548
The Unit Tests have PASSED
