

****************
Part B
****************

Solution for Part B with n = 128, omega = 1, and rho max = 6 took 73.7931 seconds
Reached specified tolerance of (1E-10) in 28750 iterations
This translates to 1.75 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
2.9993237943  2.9993237943  2.9993237943
6.9966181289  6.9966181289  6.9966181289
10.991746084  10.991746084  10.991746084
14.984708317  14.984708317  14.984708317
18.975594001  18.975594001  18.975594001
22.966177347  22.966177347  22.966177347
26.974451328  26.974451328  26.974451328
31.089211443  31.089211443  31.089211443
35.508008664  35.508008664  35.508008664
40.421397987  40.421397987  40.421397987
45.906651914  45.906651914  45.906651914
51.968364886  51.968364886  51.968364886
58.592746187  58.592746187  58.592746187
65.765645913  65.765645913  65.765645913
73.475294511  73.475294511  73.475294511
81.711875123  81.711875123  81.711875123
90.466831412  90.466831412  90.466831412
99.732355734  99.732355734  99.732355734
109.50105208  109.50105208  109.50105208
119.76571816  119.76571816  119.76571816
130.51920348  130.51920348  130.51920348
141.75431562  141.75431562  141.75431562
153.46375756  153.46375756  153.46375756
165.64008536  165.64008536  165.64008536
178.27567941  178.27567941  178.27567941
191.36272506  191.36272506  191.36272506
204.89319969  204.89319969  204.89319969
218.85886450  218.85886450  218.85886450
233.25125950  233.25125950  233.25125950
248.06170110  248.06170110  248.06170110
263.28128152  263.28128152  263.28128152
278.90086954  278.90086954  278.90086954
294.91111242  294.91111242  294.91111242
311.30243867  311.30243867  311.30243867
328.06506152  328.06506152  328.06506152
345.18898288  345.18898288  345.18898288
362.66399789  362.66399789  362.66399789
380.47969975  380.47969975  380.47969975
398.62548491  398.62548491  398.62548491
417.09055863  417.09055863  417.09055863
435.86394063  435.86394063  435.86394063
454.93447112  454.93447112  454.93447112
474.29081691  474.29081691  474.29081691
493.92147776  493.92147776  493.92147776
513.81479289  513.81479289  513.81479289
533.95894758  533.95894758  533.95894758
554.34197993  554.34197993  554.34197993
574.95178781  574.95178781  574.95178781
595.77613578  595.77613578  595.77613578
616.80266226  616.80266226  616.80266226
638.01888668  638.01888668  638.01888668
659.41221682  659.41221682  659.41221682
680.96995609  680.96995609  680.96995609
702.67931106  702.67931106  702.67931106
724.52739893  724.52739893  724.52739893
746.50125507  746.50125507  746.50125507
768.58784069  768.58784069  768.58784069
790.77405050  790.77405050  790.77405050
813.04672043  813.04672043  813.04672043
835.39263537  835.39263537  835.39263537
857.79853701  857.79853701  857.79853701
880.25113160  880.25113160  880.25113160
902.73709785  902.73709785  902.73709785
925.24309475  925.24309475  925.24309475
947.75576947  947.75576947  947.75576947
970.26176525  970.26176525  970.26176525
992.74772927  992.74772927  992.74772927
1015.2003205  1015.2003205  1015.2003205
1037.6062177  1037.6062177  1037.6062177
1059.9521271  1059.9521271  1059.9521271
1082.2247904  1082.2247904  1082.2247904
1104.4109925  1104.4109925  1104.4109925
1126.4975695  1126.4975695  1126.4975695
1148.4714159  1148.4714159  1148.4714159
1170.3194931  1170.3194931  1170.3194931
1192.0288365  1192.0288365  1192.0288365
1213.5865634  1213.5865634  1213.5865634
1234.9798803  1234.9798803  1234.9798803
1256.1960908  1256.1960908  1256.1960908
1277.2226029  1277.2226029  1277.2226029
1298.0469360  1298.0469360  1298.0469360
1318.6567287  1318.6567287  1318.6567287
1339.0397459  1339.0397459  1339.0397459
1359.1838857  1359.1838857  1359.1838857
1379.0771865  1379.0771865  1379.0771865
1398.7078340  1398.7078340  1398.7078340
1418.0641679  1418.0641679  1418.0641679
1437.1346886  1437.1346886  1437.1346886
1455.9080636  1455.9080636  1455.9080636
1474.3731341  1474.3731341  1474.3731341
1492.5189210  1492.5189210  1492.5189210
1510.3346309  1510.3346309  1510.3346309
1527.8096620  1527.8096620  1527.8096620
1544.9336099  1544.9336099  1544.9336099
1561.6962724  1561.6962724  1561.6962724
1578.0876549  1578.0876549  1578.0876549
1594.0979750  1594.0979750  1594.0979750
1609.7176669  1609.7176669  1609.7176669
1624.9373849  1624.9373849  1624.9373849
1639.7480068  1639.7480068  1639.7480068
1654.1406368  1654.1406368  1654.1406368
1668.1066064  1668.1066064  1668.1066064
1681.6374757  1681.6374757  1681.6374757
1694.7250322  1694.7250322  1694.7250322
1707.3612882  1707.3612882  1707.3612882
1719.5384763  1719.5384763  1719.5384763
1731.2490407  1731.2490407  1731.2490407
1742.4856253  1742.4856253  1742.4856253
1753.2410550  1753.2410550  1753.2410550
1763.5083098  1763.5083098  1763.5083098
1773.2804857  1773.2804857  1773.2804857
1782.5507395  1782.5507395  1782.5507395
1791.3122065  1791.3122065  1791.3122065
1799.5578795  1799.5578795  1799.5578795
1807.2804237  1807.2804237  1807.2804237
1814.4718878  1814.4718878  1814.4718878
1821.1232368  1821.1232368  1821.1232368
1827.2235597  1827.2235597  1827.2235597
1832.7586400  1832.7586400  1832.7586400
1837.7081369  1837.7081369  1837.7081369
1842.0392199  1842.0392199  1842.0392199
1845.6907844  1845.6907844  1845.6907844
1848.6297534  1848.6297534  1848.6297534
1851.4556469  1851.4556469  1851.4556469
1855.0448862  1855.0448862  1855.0448862
1859.6236933  1859.6236933  1859.6236933
1865.4490326  1865.4490326  1865.4490326
1873.3352316  1873.3352316  1873.3352316
The Unit Tests have PASSED
