

****************
Part B
****************

Solution for Part B with n = 128, omega = 1, and rho max = 12 took 70.1432 seconds
Reached specified tolerance of (1E-10) in 27269 iterations
This translates to 1.66 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
2.9972931959  2.9972931959  2.9972931959
6.9864524242  6.9864524242  6.9864524242
10.966908679  10.966908679  10.966908679
14.938633182  14.938633182  14.938633182
18.901596836  18.901596836  18.901596836
22.855770218  22.855770218  22.855770218
26.801123574  26.801123574  26.801123574
30.737626814  30.737626814  30.737626814
34.665249503  34.665249503  34.665249503
38.583960855  38.583960855  38.583960855
42.493729730  42.493729730  42.493729730
46.394524621  46.394524621  46.394524621
50.286313653  50.286313653  50.286313653
54.169064571  54.169064571  54.169064571
58.042744736  58.042744736  58.042744736
61.907321115  61.907321115  61.907321115
65.762760273  65.762760273  65.762760273
69.609028368  69.609028368  69.609028368
73.446091140  73.446091140  73.446091140
77.273913902  77.273913902  77.273913902
81.092461533  81.092461533  81.092461533
84.901698468  84.901698468  84.901698468
88.701588691  88.701588691  88.701588691
92.492095719  92.492095719  92.492095719
96.273182602  96.273182602  96.273182602
100.04481191  100.04481191  100.04481191
103.80694587  103.80694587  103.80694587
107.55954710  107.55954710  107.55954710
111.30258387  111.30258387  111.30258387
115.03605892  115.03605892  115.03605892
118.76014383  118.76014383  118.76014383
122.47569384  122.47569384  122.47569384
126.18580501  126.18580501  126.18580501
129.89924009  129.89924009  129.89924009
133.63493334  133.63493334  133.63493334
137.42280604  137.42280604  137.42280604
141.29605191  141.29605191  141.29605191
145.27951102  145.27951102  145.27951102
149.38434406  149.38434406  149.38434406
153.61080005  153.61080005  153.61080005
157.95343150  157.95343150  157.95343150
162.40481281  162.40481281  162.40481281
166.95733596  166.95733596  166.95733596
171.60385744  171.60385744  171.60385744
176.33783673  176.33783673  176.33783673
181.15329248  181.15329248  181.15329248
186.04471064  186.04471064  186.04471064
191.00695256  191.00695256  191.00695256
196.03517690  196.03517690  196.03517690
201.12477691  201.12477691  201.12477691
206.27133133  206.27133133  206.27133133
211.47056613  211.47056613  211.47056613
216.71832469  216.71832469  216.71832469
222.01054458  222.01054458  222.01054458
227.34323923  227.34323923  227.34323923
232.71248354  232.71248354  232.71248354
238.11440249  238.11440249  238.11440249
243.54516208  243.54516208  243.54516208
249.00096207  249.00096207  249.00096207
254.47803026  254.47803026  254.47803026
259.97261785  259.97261785  259.97261785
265.48099580  265.48099580  265.48099580
270.99945186  270.99945186  270.99945186
276.52428826  276.52428826  276.52428826
282.05181979  282.05181979  282.05181979
287.57837232  287.57837232  287.57837232
293.10028157  293.10028157  293.10028157
298.61389210  298.61389210  298.61389210
304.11555647  304.11555647  304.11555647
309.60163444  309.60163444  309.60163444
315.06849226  315.06849226  315.06849226
320.51250194  320.51250194  320.51250194
325.93004045  325.93004045  325.93004045
331.31748882  331.31748882  331.31748882
336.67123106  336.67123106  336.67123106
341.98765289  341.98765289  341.98765289
347.26314017  347.26314017  347.26314017
352.49407696  352.49407696  352.49407696
357.67684317  357.67684317  357.67684317
362.80781167  362.80781167  362.80781167
367.88334470  367.88334470  367.88334470
372.89978959  372.89978959  372.89978959
377.85347334  377.85347334  377.85347334
382.74069620  382.74069620  382.74069620
387.55772364  387.55772364  387.55772364
392.30077658  392.30077658  392.30077658
396.96601935  396.96601935  396.96601935
401.54954477  401.54954477  401.54954477
406.04735567  406.04735567  406.04735567
410.45534165  410.45534165  410.45534165
414.76924987  414.76924987  414.76924987
418.98464759  418.98464759  418.98464759
423.09687396  423.09687396  423.09687396
427.10097661  427.10097661  427.10097661
430.99162713  430.99162713  430.99162713
434.76300560  434.76300560  434.76300560
438.40863899  438.40863899  438.40863899
441.92116747  441.92116747  441.92116747
445.29199265  445.29199265  445.29199265
448.51072052  448.51072052  448.51072052
451.56421728  451.56421728  451.56421728
454.43485325  454.43485325  454.43485325
457.09684176  457.09684176  457.09684176
459.51000518  459.51000518  459.51000518
461.64883916  461.64883916  461.64883916
463.69136225  463.69136225  463.69136225
465.95436160  465.95436160  465.95436160
468.51431591  468.51431591  468.51431591
471.33696980  471.33696980  471.33696980
474.39787351  474.39787351  474.39787351
477.68525133  477.68525133  477.68525133
481.19465819  481.19465819  481.19465819
484.92653815  484.92653815  484.92653815
488.88516160  488.88516160  488.88516160
493.07822256  493.07822256  493.07822256
497.51683336  497.51683336  497.51683336
502.21583041  502.21583041  502.21583041
507.19439468  507.19439468  507.19439468
512.47706242  512.47706242  512.47706242
518.09528952  518.09528952  518.09528952
524.08987683  524.08987683  524.08987683
530.51483609  530.51483609  530.51483609
537.44384645  537.44384645  537.44384645
544.98177615  544.98177615  544.98177615
553.28722306  553.28722306  553.28722306
562.62284597  562.62284597  562.62284597
573.49354785  573.49354785  573.49354785
587.20441438  587.20441438  587.20441438
The Unit Tests have PASSED
