

****************
Part E
****************

Solution for Part E with n = 64, omega = 0, and rho max = 36 took 5.25774 seconds
Reached specified tolerance of (1E-10) in 6832 iterations
This translates to 1.67 iterations/element

Part E Sol w1   numpy .eig      numpy .eigh
********************************************
0.1060703862    0.1060703862    0.1060703862
0.1452618080    0.1452618080    0.1452618080
0.1942266317    0.1942266317    0.1942266317
0.2561928252    0.2561928252    0.2561928252
0.3317723058    0.3317723058    0.3317723058
0.4210200135    0.4210200135    0.4210200135
0.5239204483    0.5239204483    0.5239204483
0.6404094616    0.6404094616    0.6404094616
0.7703647534    0.7703647534    0.7703647534
0.9136049421    0.9136049421    0.9136049421
1.0698933661    1.0698933661    1.0698933661
1.2389431084    1.2389431084    1.2389431084
1.4204218171    1.4204218171    1.4204218171
1.6139559104    1.6139559104    1.6139559104
1.8191341453    1.8191341453    1.8191341453
2.0355106524    2.0355106524    2.0355106524
2.2626075603    2.2626075603    2.2626075603
2.4999173185    2.4999173185    2.4999173185
2.7469048051    2.7469048051    2.7469048051
3.0030092852    3.0030092852    3.0030092852
3.2676462684    3.2676462684    3.2676462684
3.5402093000    3.5402093000    3.5402093000
3.8200717118    3.8200717118    3.8200717118
4.1065883492    4.1065883492    4.1065883492
4.3990972863    4.3990972863    4.3990972863
4.6969215393    4.6969215393    4.6969215393
4.9993707797    4.9993707797    4.9993707797
5.3057430543    5.3057430543    5.3057430543
5.6153265089    5.6153265089    5.6153265089
5.9274011198    5.9274011198    5.9274011198
6.2412404280    6.2412404280    6.2412404280
6.5561132780    6.5561132780    6.5561132780
6.8712855561    6.8712855561    6.8712855561
7.1860219265    7.1860219265    7.1860219265
7.4995875619    7.4995875619    7.4995875619
7.8112498651    7.8112498651    7.8112498651
8.1202801770    8.1202801770    8.1202801770
8.4259554675    8.4259554675    8.4259554675
8.7275600051    8.7275600051    8.7275600051
9.0243869989    9.0243869989    9.0243869989
9.3157402096    9.3157402096    9.3157402096
9.6009355223    9.6009355223    9.6009355223
9.8793024754    9.8793024754    9.8793024754
10.150185737    10.150185737    10.150185737
10.412946522    10.412946522    10.412946522
10.666963937    10.666963937    10.666963937
10.911636235    10.911636235    10.911636235
11.146381974    11.146381974    11.146381974
11.370641036    11.370641036    11.370641036
11.583875480    11.583875480    11.583875480
11.785570171    11.785570171    11.785570171
11.975233089    11.975233089    11.975233089
12.152395182    12.152395182    12.152395182
12.316609507    12.316609507    12.316609507
12.467449231    12.467449231    12.467449231
12.604503683    12.604503683    12.604503683
12.727370872    12.727370872    12.727370872
12.835643231    12.835643231    12.835643231
12.928879483    12.928879483    12.928879483
13.006546203    13.006546203    13.006546203
13.067930899    13.067930899    13.067930899
13.111866346    13.111866346    13.111866346
13.132287523    13.132287523    13.132287523
13.286748216    13.286748216    13.286748216
The Unit Tests have PASSED

