

****************
Part E
****************

Solution for Part E with n = 128, omega = 0, and rho max = 36 took 45.7833 seconds
Reached specified tolerance of (1E-10) in 17645 iterations
This translates to 1.08 iterations/element

Part E Sol w2   numpy .eig      numpy .eigh
********************************************
2.2238242328    2.2238242328    2.2238242328
4.1056554676    4.1056554676    4.1056554676
6.0027937804    6.0027937804    6.0027937804
7.8971550064    7.8971550064    7.8971550064
9.7811028283    9.7811028283    9.7811028283
11.650668197    11.650668197    11.650668197
13.503452954    13.503452954    13.503452954
15.337825288    15.337825288    15.337825288
17.152560367    17.152560367    17.152560367
18.946660505    18.946660505    18.946660505
20.719256556    20.719256556    20.719256556
22.469549347    22.469549347    22.469549347
24.196772120    24.196772120    24.196772120
25.900164427    25.900164427    25.900164427
27.578952324    27.578952324    27.578952324
29.232331861    29.232331861    29.232331861
30.859453923    30.859453923    30.859453923
32.459409023    32.459409023    32.459409023
34.031210841    34.031210841    34.031210841
35.573777303    35.573777303    35.573777303
37.085907743    37.085907743    37.085907743
38.566254256    38.566254256    38.566254256
40.013284499    40.013284499    40.013284499
41.425231780    41.425231780    41.425231780
42.800025729    42.800025729    42.800025729
44.135192146    44.135192146    44.135192146
45.427701302    45.427701302    45.427701302
46.673723576    46.673723576    46.673723576
47.868199417    47.868199417    47.868199417
49.003953158    49.003953158    49.003953158
50.069184692    50.069184692    50.069184692
51.038521388    51.038521388    51.038521388
51.875975666    51.875975666    51.875975666
52.684141638    52.684141638    52.684141638
53.630103814    53.630103814    53.630103814
54.701663613    54.701663613    54.701663613
55.863244109    55.863244109    55.863244109
57.098709796    57.098709796    57.098709796
58.399619908    58.399619908    58.399619908
59.760659911    59.760659911    59.760659911
61.178126525    61.178126525    61.178126525
62.649279249    62.649279249    62.649279249
64.172006604    64.172006604    64.172006604
65.744633548    65.744633548    65.744633548
67.365801385    67.365801385    67.365801385
69.034388509    69.034388509    69.034388509
70.749455748    70.749455748    70.749455748
72.510207356    72.510207356    72.510207356
74.315962351    74.315962351    74.315962351
76.166132975    76.166132975    76.166132975
78.060208159    78.060208159    78.060208159
79.997740623    79.997740623    79.997740623
81.978336662    81.978336662    81.978336662
84.001647943    84.001647943    84.001647943
86.067364856    86.067364856    86.067364856
88.175211058    88.175211058    88.175211058
90.324938959    90.324938959    90.324938959
92.516325960    92.516325960    92.516325960
94.749171288    94.749171288    94.749171288
97.023293324    97.023293324    97.023293324
99.338527322    99.338527322    99.338527322
101.69472346    101.69472346    101.69472346
104.09174517    104.09174517    104.09174517
106.52946768    106.52946768    106.52946768
109.00777676    109.00777676    109.00777676
111.52656762    111.52656762    111.52656762
114.08574397    114.08574397    114.08574397
116.68521714    116.68521714    116.68521714
119.32490537    119.32490537    119.32490537
122.00473315    122.00473315    122.00473315
124.72463061    124.72463061    124.72463061
127.48453304    127.48453304    127.48453304
130.28438041    130.28438041    130.28438041
133.12411694    133.12411694    133.12411694
136.00369078    136.00369078    136.00369078
138.92305363    138.92305363    138.92305363
141.88216046    141.88216046    141.88216046
144.88096925    144.88096925    144.88096925
147.91944074    147.91944074    147.91944074
150.99753821    150.99753821    150.99753821
154.11522729    154.11522729    154.11522729
157.27247574    157.27247574    157.27247574
160.46925336    160.46925336    160.46925336
163.70553178    163.70553178    163.70553178
166.98128433    166.98128433    166.98128433
170.29648594    170.29648594    170.29648594
173.65111302    173.65111302    173.65111302
177.04514334    177.04514334    177.04514334
180.47855593    180.47855593    180.47855593
183.95133104    183.95133104    183.95133104
187.46344999    187.46344999    187.46344999
191.01489515    191.01489515    191.01489515
194.60564985    194.60564985    194.60564985
198.23569832    198.23569832    198.23569832
201.90502563    201.90502563    201.90502563
205.61361764    205.61361764    205.61361764
209.36146093    209.36146093    209.36146093
213.14854280    213.14854280    213.14854280
216.97485117    216.97485117    216.97485117
220.84037460    220.84037460    220.84037460
224.74510219    224.74510219    224.74510219
228.68902359    228.68902359    228.68902359
232.67212897    232.67212897    232.67212897
236.69440895    236.69440895    236.69440895
240.75585463    240.75585463    240.75585463
244.85645751    244.85645751    244.85645751
248.99620949    248.99620949    248.99620949
253.17510285    253.17510285    253.17510285
257.39313023    257.39313023    257.39313023
261.65028461    261.65028461    261.65028461
265.94655926    265.94655926    265.94655926
270.28194779    270.28194779    270.28194779
274.65644407    274.65644407    274.65644407
279.07004224    279.07004224    279.07004224
283.52273671    283.52273671    283.52273671
288.01452223    288.01452223    288.01452223
292.54539551    292.54539551    292.54539551
297.11537599    297.11537599    297.11537599
301.72472320    301.72472320    301.72472320
306.37568614    306.37568614    306.37568614
311.08240196    311.08240196    311.08240196
315.90417516    315.90417516    315.90417516
320.99119268    320.99119268    320.99119268
326.56537260    326.56537260    326.56537260
332.85044862    332.85044862    332.85044862
340.09115963    340.09115963    340.09115963
348.70288806    348.70288806    348.70288806
359.76172045    359.76172045    359.76172045
The Unit Tests have PASSED

