

****************
Part E
****************

Solution for Part E with n = 16, omega = 5, and rho max = 128 took 0.00235319 seconds
Reached specified tolerance of (1E-10) in 29 iterations
This translates to 0.11 iterations/element

Part E Sol w4   numpy .eig      numpy .eigh
********************************************
1417.4691288    1417.4691288    1417.4691288
5669.3058368    5669.3058368    5669.3058368
12755.788891    12755.788891    12755.788891
22676.885090    22676.885090    22676.885090
35432.587792    35432.587792    35432.587792
51022.894783    51022.894783    51022.894783
69447.805116    69447.805116    69447.805116
90707.318315    90707.318315    90707.318315
114801.43411    114801.43411    114801.43411
141730.15236    141730.15236    141730.15236
171493.47295    171493.47295    171493.47295
204091.39582    204091.39582    204091.39582
239523.92092    239523.92092    239523.92092
277791.04822    277791.04822    277791.04822
318892.77769    318892.77769    318892.77769
362829.10932    362829.10932    362829.10932
The Unit Tests have PASSED

