

****************
Part E
****************

Solution for Part E with n = 16, omega = 0, and rho max = 128 took 0.00345588 seconds
Reached specified tolerance of (1E-10) in 43 iterations
This translates to 0.17 iterations/element

Part E Sol w2   numpy .eig      numpy .eigh
********************************************
14.341093871    14.341093871    14.341093871
56.793729029    56.793729029    56.793729029
127.63664383    127.63664383    127.63664383
226.83664823    226.83664823    226.83664823
354.38710077    354.38710077    354.38710077
510.28578774    510.28578774    510.28578774
694.53176041    694.53176041    694.53176041
907.12454441    907.12454441    907.12454441
1148.0638762    1148.0638762    1148.0638762
1417.3495977    1417.3495977    1417.3495977
1714.9816083    1714.9816083    1714.9816083
2040.9598409    2040.9598409    2040.9598409
2395.2842490    2395.2842490    2395.2842490
2777.9547995    2777.9547995    2777.9547995
3188.9714681    3188.9714681    3188.9714681
3628.3342372    3628.3342372    3628.3342372
The Unit Tests have PASSED

