

****************
Part E
****************

Solution for Part E with n = 16, omega = 0, and rho max = 36 took 0.0394959 seconds
Reached specified tolerance of (1E-10) in 396 iterations
This translates to 1.55 iterations/element

Part E Sol w1   numpy .eig      numpy .eigh
********************************************
0.1059776234    0.1059776234    0.1059776234
0.1446432549    0.1446432549    0.1446432549
0.1918061997    0.1918061997    0.1918061997
0.2494445760    0.2494445760    0.2494445760
0.3165979846    0.3165979846    0.3165979846
0.3914095111    0.3914095111    0.3914095111
0.4716599030    0.4716599030    0.4716599030
0.5548659057    0.5548659057    0.5548659057
0.6383540037    0.6383540037    0.6383540037
0.7193414293    0.7193414293    0.7193414293
0.7950102149    0.7950102149    0.7950102149
0.8625501426    0.8625501426    0.8625501426
0.9191600471    0.9191600471    0.9191600471
0.9612205634    0.9612205634    0.9612205634
0.9838878065    0.9838878065    0.9838878065
1.0971992493    1.0971992493    1.0971992493
The Unit Tests have PASSED

