

****************
Part E
****************

Solution for Part E with n = 64, omega = 1, and rho max = 36 took 0.952935 seconds
Reached specified tolerance of (1E-10) in 1264 iterations
This translates to 0.31 iterations/element

Part E Sol w3   numpy .eig      numpy .eigh
********************************************
3.9516628760    3.9516628760    3.9516628760
7.4049305618    7.4049305618    7.4049305618
10.507503841    10.507503841    10.507503841
13.082928381    13.082928381    13.082928381
15.404105795    15.404105795    15.404105795
18.399416724    18.399416724    18.399416724
22.183823761    22.183823761    22.183823761
26.658540878    26.658540878    26.658540878
31.786481765    31.786481765    31.786481765
37.551605825    37.551605825    37.551605825
43.945544099    43.945544099    43.945544099
50.963446036    50.963446036    50.963446036
58.602297223    58.602297223    58.602297223
66.860125719    66.860125719    66.860125719
75.735588858    75.735588858    75.735588858
85.227742281    85.227742281    85.227742281
95.335903590    95.335903590    95.335903590
106.05956822    106.05956822    106.05956822
117.39835564    117.39835564    117.39835564
129.35197387    129.35197387    129.35197387
141.92019538    141.92019538    141.92019538
155.10284049    155.10284049    155.10284049
168.89976556    168.89976556    168.89976556
183.31085446    183.31085446    183.31085446
198.33601241    198.33601241    198.33601241
213.97516130    213.97516130    213.97516130
230.22823628    230.22823628    230.22823628
247.09518304    247.09518304    247.09518304
264.57595580    264.57595580    264.57595580
282.67051574    282.67051574    282.67051574
301.37882969    301.37882969    301.37882969
320.70086921    320.70086921    320.70086921
340.63660973    340.63660973    340.63660973
361.18602996    361.18602996    361.18602996
382.34911136    382.34911136    382.34911136
404.12583769    404.12583769    404.12583769
426.51619469    426.51619469    426.51619469
449.52016979    449.52016979    449.52016979
473.13775186    473.13775186    473.13775186
497.36893103    497.36893103    497.36893103
522.21369849    522.21369849    522.21369849
547.67204637    547.67204637    547.67204637
573.74396763    573.74396763    573.74396763
600.42945592    600.42945592    600.42945592
627.72850553    627.72850553    627.72850553
655.64111132    655.64111132    655.64111132
684.16726861    684.16726861    684.16726861
713.30697315    713.30697315    713.30697315
743.06022110    743.06022110    743.06022110
773.42700894    773.42700894    773.42700894
804.40733346    804.40733346    804.40733346
836.00119172    836.00119172    836.00119172
868.20858103    868.20858103    868.20858103
901.02949892    901.02949892    901.02949892
934.46394312    934.46394312    934.46394312
968.51191153    968.51191153    968.51191153
1003.1734022    1003.1734022    1003.1734022
1038.4484133    1038.4484133    1038.4484133
1074.3369433    1074.3369433    1074.3369433
1110.8389906    1110.8389906    1110.8389906
1147.9545538    1147.9545538    1147.9545538
1185.6836327    1185.6836327    1185.6836327
1224.0271616    1224.0271616    1224.0271616
1263.2499697    1263.2499697    1263.2499697
The Unit Tests have PASSED

