

****************
Part E
****************

Solution for Part E with n = 64, omega = 0, and rho max = 6 took 5.38545 seconds
Reached specified tolerance of (1E-10) in 7145 iterations
This translates to 1.74 iterations/element

Part E Sol w1   numpy .eig      numpy .eigh
********************************************
0.6410215783    0.6410215783    0.6410215783
1.5869651444    1.5869651444    1.5869651444
3.0301314962    3.0301314962    3.0301314962
4.9927635161    4.9927635161    4.9927635161
7.4805405228    7.4805405228    7.4805405228
10.492522966    10.492522966    10.492522966
14.024308699    14.024308699    14.024308699
18.069219126    18.069219126    18.069219126
22.618816623    22.618816623    22.618816623
27.663163338    27.663163338    27.663163338
33.190968875    33.190968875    33.190968875
39.189686278    39.189686278    39.189686278
45.645582627    45.645582627    45.645582627
52.543796815    52.543796815    52.543796815
59.868390932    59.868390932    59.868390932
67.602398684    67.602398684    67.602398684
75.727872761    75.727872761    75.727872761
84.225932248    84.225932248    84.225932248
93.076810708    93.076810708    93.076810708
102.25990529    102.25990529    102.25990529
111.75382709    111.75382709    111.75382709
121.53645277    121.53645277    121.53645277
131.58497754    131.58497754    131.58497754
141.87596946    141.87596946    141.87596946
152.38542495    152.38542495    152.38542495
163.08882551    163.08882551    163.08882551
173.96119546    173.96119546    173.96119546
184.97716071    184.97716071    184.97716071
196.11100830    196.11100830    196.11100830
207.33674674    207.33674674    207.33674674
218.62816688    218.62816688    218.62816688
229.95890326    229.95890326    229.95890326
241.30249579    241.30249579    241.30249579
252.63245160    252.63245160    252.63245160
263.92230692    263.92230692    263.92230692
275.14568888    275.14568888    275.14568888
286.27637701    286.27637701    286.27637701
297.28836438    297.28836438    297.28836438
308.15591819    308.15591819    308.15591819
318.85363968    318.85363968    318.85363968
329.35652314    329.35652314    329.35652314
339.64001400    339.64001400    339.64001400
349.68006571    349.68006571    349.68006571
359.45319542    359.45319542    359.45319542
368.93653809    368.93653809    368.93653809
378.10789904    378.10789904    378.10789904
386.94580470    386.94580470    386.94580470
395.42955137    395.42955137    395.42955137
403.53925174    403.53925174    403.53925174
411.25587898    411.25587898    411.25587898
418.56130798    418.56130798    418.56130798
425.43835338    425.43835338    425.43835338
431.87080381    431.87080381    431.87080381
437.84345130    437.84345130    437.84345130
443.34211457    443.34211457    443.34211457
448.35365381    448.35365381    448.35365381
452.86597279    452.86597279    452.86597279
456.86800040    456.86800040    456.86800040
460.34963604    460.34963604    460.34963604
463.30162395    463.30162395    463.30162395
465.71527144    465.71527144    465.71527144
467.58176841    467.58176841    467.58176841
468.89029324    468.89029324    468.89029324
469.65690997    469.65690997    469.65690997
The Unit Tests have PASSED

