

****************
Part E
****************

Solution for Part E with n = 128, omega = 0, and rho max = 36 took 71.0129 seconds
Reached specified tolerance of (1E-10) in 27666 iterations
This translates to 1.69 iterations/element

Part E Sol w1   numpy .eig      numpy .eigh
********************************************
0.1060754404    0.1060754404    0.1060754404
0.1452955561    0.1452955561    0.1452955561
0.1943595311    0.1943595311    0.1943595311
0.2565660793    0.2565660793    0.2565660793
0.3326190867    0.3326190867    0.3326190867
0.4226905568    0.4226905568    0.4226905568
0.5269079488    0.5269079488    0.5269079488
0.6453755750    0.6453755750    0.6453755750
0.7781645155    0.7781645155    0.7781645155
0.9253110327    0.9253110327    0.9253110327
1.0868196677    1.0868196677    1.0868196677
1.2626675109    1.2626675109    1.2626675109
1.4528082177    1.4528082177    1.4528082177
1.6571753523    1.6571753523    1.6571753523
1.8756850391    1.8756850391    1.8756850391
2.1082380217    2.1082380217    2.1082380217
2.3547212543    2.3547212543    2.3547212543
2.6150091365    2.6150091365    2.6150091365
2.8889644784    2.8889644784    2.8889644784
3.1764392662    3.1764392662    3.1764392662
3.4772752782    3.4772752782    3.4772752782
3.7913045896    3.7913045896    3.7913045896
4.1183499943    4.1183499943    4.1183499943
4.4582253643    4.4582253643    4.4582253643
4.8107359626    4.8107359626    4.8107359626
5.1756787214    5.1756787214    5.1756787214
5.5528424934    5.5528424934    5.5528424934
5.9420082840    5.9420082840    5.9420082840
6.3429494683    6.3429494683    6.3429494683
6.7554319978    6.7554319978    6.7554319978
7.1792145987    7.1792145987    7.1792145987
7.6140489649    7.6140489649    7.6140489649
8.0596799472    8.0596799472    8.0596799472
8.5158457394    8.5158457394    8.5158457394
8.9822780643    8.9822780643    8.9822780643
9.4587023571    9.4587023571    9.4587023571
9.9448379509    9.9448379509    9.9448379509
10.440398261    10.440398261    10.440398261
10.945090973    10.945090973    10.945090973
11.458618227    11.458618227    11.458618227
11.980676809    11.980676809    11.980676809
12.510958340    12.510958340    12.510958340
13.049149467    13.049149467    13.049149467
13.594932062    13.594932062    13.594932062
14.147983410    14.147983410    14.147983410
14.707976413    14.707976413    14.707976413
15.274579788    15.274579788    15.274579788
15.847458267    15.847458267    15.847458267
16.426272801    16.426272801    16.426272801
17.010680764    17.010680764    17.010680764
17.600336162    17.600336162    17.600336162
18.194889839    18.194889839    18.194889839
18.793989689    18.793989689    18.793989689
19.397280864    19.397280864    19.397280864
20.004405988    20.004405988    20.004405988
20.615005374    20.615005374    20.615005374
21.228717235    21.228717235    21.228717235
21.845177899    21.845177899    21.845177899
22.464022031    22.464022031    22.464022031
23.084882847    23.084882847    23.084882847
23.707392335    23.707392335    23.707392335
24.331181469    24.331181469    24.331181469
24.955880437    24.955880437    24.955880437
25.581118852    25.581118852    25.581118852
26.206525977    26.206525977    26.206525977
26.831730946    26.831730946    26.831730946
27.456362980    27.456362980    27.456362980
28.080051612    28.080051612    28.080051612
28.702426902    28.702426902    28.702426902
29.323119659    29.323119659    29.323119659
29.941761658    29.941761658    29.941761658
30.557985861    30.557985861    30.557985861
31.171426630    31.171426630    31.171426630
31.781719947    31.781719947    31.781719947
32.388503627    32.388503627    32.388503627
32.991417531    32.991417531    32.991417531
33.590103782    33.590103782    33.590103782
34.184206972    34.184206972    34.184206972
34.773374375    34.773374375    34.773374375
35.357256151    35.357256151    35.357256151
35.935505556    35.935505556    35.935505556
36.507779140    36.507779140    36.507779140
37.073736954    37.073736954    37.073736954
37.633042746    37.633042746    37.633042746
38.185364158    38.185364158    38.185364158
38.730372920    38.730372920    38.730372920
39.267745040    39.267745040    39.267745040
39.797160995    39.797160995    39.797160995
40.318305912    40.318305912    40.318305912
40.830869754    40.830869754    40.830869754
41.334547491    41.334547491    41.334547491
41.829039283    41.829039283    41.829039283
42.314050643    42.314050643    42.314050643
42.789292607    42.789292607    42.789292607
43.254481893    43.254481893    43.254481893
43.709341059    43.709341059    43.709341059
44.153598653    44.153598653    44.153598653
44.586989361    44.586989361    44.586989361
45.009254144    45.009254144    45.009254144
45.420140372    45.420140372    45.420140372
45.819401950    45.819401950    45.819401950
46.206799432    46.206799432    46.206799432
46.582100135    46.582100135    46.582100135
46.945078226    46.945078226    46.945078226
47.295514815    47.295514815    47.295514815
47.633198021    47.633198021    47.633198021
47.957923020    47.957923020    47.957923020
48.269492079    48.269492079    48.269492079
48.567714553    48.567714553    48.567714553
48.852406852    48.852406852    48.852406852
49.123392362    49.123392362    49.123392362
49.380501294    49.380501294    49.380501294
49.623570464    49.623570464    49.623570464
49.852442933    49.852442933    49.852442933
50.066967480    50.066967480    50.066967480
50.266997813    50.266997813    50.266997813
50.452391365    50.452391365    50.452391365
50.623007434    50.623007434    50.623007434
50.778704234    50.778704234    50.778704234
50.919334031    50.919334031    50.919334031
51.044734791    51.044734791    51.044734791
51.154715073    51.154715073    51.154715073
51.249025098    51.249025098    51.249025098
51.327297706    51.327297706    51.327297706
51.388961477    51.388961477    51.388961477
51.433010624    51.433010624    51.433010624
51.453294755    51.453294755    51.453294755
51.611124642    51.611124642    51.611124642
The Unit Tests have PASSED

