

****************
Part E
****************

Solution for Part E with n = 16, omega = 0, and rho max = 128 took 0.0185971 seconds
Reached specified tolerance of (1E-10) in 183 iterations
This translates to 0.71 iterations/element

Part E Sol w1   numpy .eig      numpy .eigh
********************************************
0.1044140898    0.1044140898    0.1044140898
0.1337511416    0.1337511416    0.1337511416
0.1624499838    0.1624499838    0.1624499838
0.1802026469    0.1802026469    0.1802026469
0.2052558726    0.2052558726    0.2052558726
0.2624707718    0.2624707718    0.2624707718
0.3326913057    0.3326913057    0.3326913057
0.4151819258    0.4151819258    0.4151819258
0.5096037369    0.5096037369    0.5096037369
0.6157685442    0.6157685442    0.6157685442
0.7335614218    0.7335614218    0.7335614218
0.8629076447    0.8629076447    0.8629076447
1.0037563324    1.0037563324    1.0037563324
1.1560715861    1.1560715861    1.1560715861
1.3198358437    1.3198358437    1.3198358437
1.4966627585    1.4966627585    1.4966627585
The Unit Tests have PASSED

