

****************
Part E
****************

Solution for Part E with n = 16, omega = 5, and rho max = 6 took 0.027724 seconds
Reached specified tolerance of (1E-10) in 210 iterations
This translates to 0.82 iterations/element

Part E Sol w4   numpy .eig      numpy .eigh
********************************************
16.293150715    16.293150715    16.293150715
31.354245490    31.354245490    31.354245490
46.313487581    46.313487581    46.313487581
67.276113103    67.276113103    67.276113103
94.903118486    94.903118486    94.903118486
128.93099604    128.93099604    128.93099604
169.26907915    169.26907915    169.26907915
215.88066435    215.88066435    215.88066435
268.74800990    268.74800990    268.74800990
327.86151744    327.86151744    327.86151744
393.21556107    393.21556107    393.21556107
464.80663654    464.80663654    464.80663654
542.63245365    542.63245365    542.63245365
626.69145920    626.69145920    626.69145920
716.98476702    716.98476702    716.98476702
814.12989064    814.12989064    814.12989064
The Unit Tests have PASSED

