

****************
Part E
****************

Solution for Part E with n = 16, omega = 1, and rho max = 6 took 0.0427151 seconds
Reached specified tolerance of (1E-10) in 395 iterations
This translates to 1.54 iterations/element

Part E Sol w3   numpy .eig      numpy .eigh
********************************************
4.0162342861    4.0162342861    4.0162342861
7.7166876692    7.7166876692    7.7166876692
11.339585166    11.339585166    11.339585166
14.845432318    14.845432318    14.845432318
18.211851476    18.211851476    18.211851476
21.420011172    21.420011172    21.420011172
24.450795662    24.450795662    24.450795662
27.282631333    27.282631333    27.282631333
29.875244904    29.875244904    29.875244904
32.126819337    32.126819337    32.126819337
34.188556044    34.188556044    34.188556044
36.745200236    36.745200236    36.745200236
40.037871614    40.037871614    40.037871614
44.180130859    44.180130859    44.180130859
49.499674488    49.499674488    49.499674488
56.883835643    56.883835643    56.883835643
The Unit Tests have PASSED

