

****************
Part E
****************

Solution for Part E with n = 16, omega = 0, and rho max = 36 took 0.0142751 seconds
Reached specified tolerance of (1E-10) in 90 iterations
This translates to 0.35 iterations/element

Part E Sol w2   numpy .eig      numpy .eigh
********************************************
2.0234672462    2.0234672462    2.0234672462
5.1733797141    5.1733797141    5.1733797141
10.695990054    10.695990054    10.695990054
18.503188013    18.503188013    18.503188013
28.569016238    28.569016238    28.569016238
40.885175819    40.885175819    40.885175819
55.448160099    55.448160099    55.448160099
72.256228949    72.256228949    72.256228949
91.308420336    91.308420336    91.308420336
112.60415903    112.60415903    112.60415903
136.14307996    136.14307996    136.14307996
161.92494022    161.92494022    161.92494022
189.94957194    189.94957194    189.94957194
220.21685536    220.21685536    220.21685536
252.72670281    252.72670281    252.72670281
287.48039259    287.48039259    287.48039259
The Unit Tests have PASSED

