

****************
Part E
****************

Solution for Part E with n = 64, omega = 0, and rho max = 2 took 5.53871 seconds
Reached specified tolerance of (1E-10) in 7367 iterations
This translates to 1.80 iterations/element

Part E Sol w1   numpy .eig      numpy .eigh
********************************************
3.6366545047    3.6366545047    3.6366545047
11.389414536    11.389414536    11.389414536
23.905736560    23.905736560    23.905736560
41.241095276    41.241095276    41.241095276
63.383779733    63.383779733    63.383779733
90.295082430    90.295082430    90.295082430
121.91912303    121.91912303    121.91912303
158.18622364    158.18622364    158.18622364
199.01439592    199.01439592    199.01439592
244.31015393    244.31015393    244.31015393
293.96905539    293.96905539    293.96905539
347.87612692    347.87612692    347.87612692
405.90624082    405.90624082    405.90624082
467.92447532    467.92447532    467.92447532
533.78647405    533.78647405    533.78647405
603.33881333    603.33881333    603.33881333
676.41938137    676.41938137    676.41938137
752.85777194    752.85777194    752.85777194
832.47569318    832.47569318    832.47569318
915.08739224    915.08739224    915.08739224
1000.5000952    1000.5000952    1000.5000952
1088.5144620    1088.5144620    1088.5144620
1178.9250557    1178.9250557    1178.9250557
1271.5208252    1271.5208252    1271.5208252
1366.0856003    1366.0856003    1366.0856003
1462.3985984    1462.3985984    1462.3985984
1560.2349416    1560.2349416    1560.2349416
1659.3661832    1659.3661832    1659.3661832
1759.5608419    1759.5608419    1759.5608419
1860.5849431    1860.5849431    1860.5849431
1962.2025662    1962.2025662    1962.2025662
2064.1763957    2064.1763957    2064.1763957
2166.2682758    2166.2682758    2166.2682758
2268.2397669    2268.2397669    2268.2397669
2369.8527022    2369.8527022    2369.8527022
2470.8697441    2470.8697441    2470.8697441
2571.0549381    2571.0549381    2571.0549381
2670.1742637    2670.1742637    2670.1742637
2767.9961804    2767.9961804    2767.9961804
2864.2921679    2864.2921679    2864.2921679
2958.8372586    2958.8372586    2958.8372586
3051.4105626    3051.4105626    3051.4105626
3141.7957816    3141.7957816    3141.7957816
3229.7817128    3229.7817128    3229.7817128
3315.1627398    3315.1627398    3315.1627398
3397.7393104    3397.7393104    3397.7393104
3477.3183987    3477.3183987    3477.3183987
3553.7139521    3553.7139521    3553.7139521
3626.7473199    3626.7473199    3626.7473199
3696.2476628    3696.2476628    3696.2476628
3762.0523420    3762.0523420    3762.0523420
3824.0072853    3824.0072853    3824.0072853
3881.9673279    3881.9673279    3881.9673279
3935.7965243    3935.7965243    3935.7965243
3985.3684258    3985.3684258    3985.3684258
4030.5663162    4030.5663162    4030.5663162
4071.2833898    4071.2833898    4071.2833898
4107.4228449    4107.4228449    4107.4228449
4138.8978382    4138.8978382    4138.8978382
4165.6311751    4165.6311751    4165.6311751
4187.5544271    4187.5544271    4187.5544271
4204.6055666    4204.6055666    4204.6055666
4216.7218027    4216.7218027    4216.7218027
4223.8133228    4223.8133228    4223.8133228
The Unit Tests have PASSED

