

****************
Part E
****************

Solution for Part E with n = 16, omega = 5, and rho max = 36 took 0.00412297 seconds
Reached specified tolerance of (1E-10) in 50 iterations
This translates to 0.20 iterations/element

Part E Sol w4   numpy .eig      numpy .eigh
********************************************
113.02878856    113.02878856    113.02878856
449.12506457    449.12506457    449.12506457
1009.5999602    1009.5999602    1009.5999602
1794.3356835    1794.3356835    1794.3356835
2803.3086071    2803.3086071    2803.3086071
4036.5108567    4036.5108567    4036.5108567
5493.9390580    5493.9390580    5493.9390580
7175.5915241    7175.5915241    7175.5915241
9081.4673176    9081.4673176    9081.4673176
11211.565876    11211.565876    11211.565876
13565.886842    13565.886842    13565.886842
16144.429977    16144.429977    16144.429977
18947.195116    18947.195116    18947.195116
21974.182141    21974.182141    21974.182141
25225.390964    25225.390964    25225.390964
28700.821536    28700.821536    28700.821536
The Unit Tests have PASSED

