

****************
Part E
****************

Solution for Part E with n = 64, omega = 5, and rho max = 6 took 4.64982 seconds
Reached specified tolerance of (1E-10) in 6286 iterations
This translates to 1.53 iterations/element

Part E Sol w4   numpy .eig      numpy .eigh
********************************************
17.378613370    17.378613370    17.378613370
36.740379115    36.740379115    36.740379115
56.042020138    56.042020138    56.042020138
75.189692240    75.189692240    75.189692240
94.147978736    94.147978736    94.147978736
112.89827047    112.89827047    112.89827047
131.42834305    131.42834305    131.42834305
149.72876698    149.72876698    149.72876698
167.79139424    167.79139424    167.79139424
185.60861614    185.60861614    185.60861614
203.17294777    203.17294777    203.17294777
220.47676252    220.47676252    220.47676252
237.51209710    237.51209710    237.51209710
254.27048650    254.27048650    254.27048650
270.74280551    270.74280551    270.74280551
286.91910008    286.91910008    286.91910008
302.78839387    302.78839387    302.78839387
318.33845413    318.33845413    318.33845413
333.55549630    333.55549630    333.55549630
348.42379856    348.42379856    348.42379856
362.92518191    362.92518191    362.92518191
377.03828492    377.03828492    377.03828492
390.73751134    390.73751134    390.73751134
403.99142924    403.99142924    403.99142924
416.76018138    416.76018138    416.76018138
428.99092447    428.99092447    428.99092447
440.60870897    440.60870897    440.60870897
451.49536794    451.49536794    451.49536794
461.45672041    461.45672041    461.45672041
470.43059708    470.43059708    470.43059708
479.30966380    479.30966380    479.30966380
489.18988853    489.18988853    489.18988853
500.14756847    500.14756847    500.14756847
511.98479878    511.98479878    511.98479878
524.57609894    524.57609894    524.57609894
537.84678579    537.84678579    537.84678579
551.74742421    551.74742421    551.74742421
566.24273079    566.24273079    566.24273079
581.30625095    581.30625095    581.30625095
596.91744972    596.91744972    596.91744972
613.05996889    613.05996889    613.05996889
629.72051224    629.72051224    629.72051224
646.88809619    646.88809619    646.88809619
664.55352636    664.55352636    664.55352636
682.70902062    682.70902062    682.70902062
701.34793398    701.34793398    701.34793398
720.46457174    720.46457174    720.46457174
740.05415844    740.05415844    740.05415844
760.11335012    760.11335012    760.11335012
780.64286732    780.64286732    780.64286732
801.65723477    801.65723477    801.65723477
823.21217877    823.21217877    823.21217877
845.45649593    845.45649593    845.45649593
868.67785902    868.67785902    868.67785902
893.27417449    893.27417449    893.27417449
919.65558876    919.65558876    919.65558876
948.18667557    948.18667557    948.18667557
979.21841062    979.21841062    979.21841062
1013.1652480    1013.1652480    1013.1652480
1050.5984514    1050.5984514    1050.5984514
1092.3835448    1092.3835448    1092.3835448
1139.9609372    1139.9609372    1139.9609372
1196.1031575    1196.1031575    1196.1031575
1267.9601182    1267.9601182    1267.9601182
The Unit Tests have PASSED

