

****************
Part E
****************

Solution for Part E with n = 64, omega = 0, and rho max = 2 took 5.61468 seconds
Reached specified tolerance of (1E-10) in 7429 iterations
This translates to 1.81 iterations/element

Part E Sol w2   numpy .eig      numpy .eigh
********************************************
3.9398279972    3.9398279972    3.9398279972
11.709168360    11.709168360    11.709168360
24.231196196    24.231196196    24.231196196
41.569249571    41.569249571    41.569249571
63.713420448    63.713420448    63.713420448
90.625631679    90.625631679    90.625631679
122.25026967    122.25026967    122.25026967
158.51778510    158.51778510    158.51778510
199.34625781    199.34625781    199.34625781
244.64224084    244.64224084    244.64224084
294.30131552    294.30131552    294.30131552
348.20852344    348.20852344    348.20852344
406.23874684    406.23874684    406.23874684
468.25707069    468.25707069    468.25707069
534.11914340    534.11914340    534.11914340
603.67154469    603.67154469    603.67154469
676.75216531    676.75216531    676.75216531
753.19060088    753.19060088    753.19060088
832.80856103    832.80856103    832.80856103
915.42029399    915.42029399    915.42029399
1000.8330267    1000.8330267    1000.8330267
1088.8474198    1088.8474198    1088.8474198
1179.2580370    1179.2580370    1179.2580370
1271.8538275    1271.8538275    1271.8538275
1366.4186215    1366.4186215    1366.4186215
1462.7316368    1462.7316368    1462.7316368
1560.5679957    1560.5679957    1560.5679957
1659.6992517    1659.6992517    1659.6992517
1759.8939236    1759.8939236    1759.8939236
1860.9180371    1860.9180371    1860.9180371
1962.5356717    1962.5356717    1962.5356717
2064.5095120    2064.5095120    2064.5095120
2166.6014023    2166.6014023    2166.6014023
2268.5729031    2268.5729031    2268.5729031
2370.1858477    2370.1858477    2370.1858477
2471.2028985    2471.2028985    2471.2028985
2571.3881011    2571.3881011    2571.3881011
2670.5074352    2670.5074352    2670.5074352
2768.3293603    2768.3293603    2768.3293603
2864.6253559    2864.6253559    2864.6253559
2959.1704549    2959.1704549    2959.1704549
3051.7437671    3051.7437671    3051.7437671
3142.1289944    3142.1289944    3142.1289944
3230.1149340    3230.1149340    3230.1149340
3315.4959696    3315.4959696    3315.4959696
3398.0725490    3398.0725490    3398.0725490
3477.6516464    3477.6516464    3477.6516464
3554.0472092    3554.0472092    3554.0472092
3627.0805866    3627.0805866    3627.0805866
3696.5809394    3696.5809394    3696.5809394
3762.3856286    3762.3856286    3762.3856286
3824.3405817    3824.3405817    3824.3405817
3882.3006334    3882.3006334    3882.3006334
3936.1298371    3936.1298371    3936.1298371
3985.7017424    3985.7017424    3985.7017424
4030.8996295    4030.8996295    4030.8996295
4071.6166858    4071.6166858    4071.6166858
4107.7560952    4107.7560952    4107.7560952
4139.2309824    4139.2309824    4139.2309824
4165.9640753    4165.9640753    4165.9640753
4187.8867272    4187.8867272    4187.8867272
4204.9361508    4204.9361508    4204.9361508
4217.0457199    4217.0457199    4217.0457199
4224.0708647    4224.0708647    4224.0708647
The Unit Tests have PASSED

