

****************
Part E
****************

Solution for Part E with n = 64, omega = 5, and rho max = 128 took 0.16582 seconds
Reached specified tolerance of (1E-10) in 218 iterations
This translates to 0.05 iterations/element

Part E Sol w4   numpy .eig      numpy .eigh
********************************************
97.970076289    97.970076289    97.970076289
388.55672720    388.55672720    388.55672720
873.20576717    873.20576717    873.20576717
1551.7906509    1551.7906509    1551.7906509
2424.2859624    2424.2859624    2424.2859624
3490.6832323    3490.6832323    3490.6832323
4750.9788312    4750.9788312    4750.9788312
6205.1709449    6205.1709449    6205.1709449
7853.2585654    7853.2585654    7853.2585654
9695.2410879    9695.2410879    9695.2410879
11731.118127    11731.118127    11731.118127
13960.889428    13960.889428    13960.889428
16384.554811    16384.554811    16384.554811
19002.114151    19002.114151    19002.114151
21813.567354    21813.567354    21813.567354
24818.914350    24818.914350    24818.914350
28018.155087    28018.155087    28018.155087
31411.289522    31411.289522    31411.289522
34998.317622    34998.317622    34998.317622
38779.239363    38779.239363    38779.239363
42754.054722    42754.054722    42754.054722
46922.763682    46922.763682    46922.763682
51285.366228    51285.366228    51285.366228
55841.862350    55841.862350    55841.862350
60592.252036    60592.252036    60592.252036
65536.535278    65536.535278    65536.535278
70674.712070    70674.712070    70674.712070
76006.782404    76006.782404    76006.782404
81532.746276    81532.746276    81532.746276
87252.603680    87252.603680    87252.603680
93166.354613    93166.354613    93166.354613
99273.999072    99273.999072    99273.999072
105575.53705    105575.53705    105575.53705
112070.96855    112070.96855    112070.96855
118760.29356    118760.29356    118760.29356
125643.51210    125643.51210    125643.51210
132720.62414    132720.62414    132720.62414
139991.62970    139991.62970    139991.62970
147456.52876    147456.52876    147456.52876
155115.32134    155115.32134    155115.32134
162968.00742    162968.00742    162968.00742
171014.58700    171014.58700    171014.58700
179255.06010    179255.06010    179255.06010
187689.42669    187689.42669    187689.42669
196317.68679    196317.68679    196317.68679
205139.84039    205139.84039    205139.84039
214155.88749    214155.88749    214155.88749
223365.82810    223365.82810    223365.82810
232769.66220    232769.66220    232769.66220
242367.38980    242367.38980    242367.38980
252159.01091    252159.01091    252159.01091
262144.52551    262144.52551    262144.52551
272323.93361    272323.93361    272323.93361
282697.23521    282697.23521    282697.23521
293264.43030    293264.43030    293264.43030
304025.51889    304025.51889    304025.51889
314980.50098    314980.50098    314980.50098
326129.37657    326129.37657    326129.37657
337472.14565    337472.14565    337472.14565
349008.80823    349008.80823    349008.80823
360739.36430    360739.36430    360739.36430
372663.81387    372663.81387    372663.81387
384782.15694    384782.15694    384782.15694
397094.39350    397094.39350    397094.39350
The Unit Tests have PASSED

