

****************
Part E
****************

Solution for Part E with n = 128, omega = 1, and rho max = 36 took 24.4888 seconds
Reached specified tolerance of (1E-10) in 9454 iterations
This translates to 0.58 iterations/element

Part E Sol w3   numpy .eig      numpy .eigh
********************************************
4.0320499264    4.0320499264    4.0320499264
7.7905398388    7.7905398388    7.7905398388
11.525040396    11.525040396    11.525040396
15.201912523    15.201912523    15.201912523
18.806154068    18.806154068    18.806154068
22.328503911    22.328503911    22.328503911
25.761715587    25.761715587    25.761715587
29.099092577    29.099092577    29.099092577
32.333713971    32.333713971    32.333713971
35.457854825    35.457854825    35.457854825
38.462367329    38.462367329    38.462367329
41.335809202    41.335809202    41.335809202
44.062934135    44.062934135    44.062934135
46.621411955    46.621411955    46.621411955
48.972054058    48.972054058    48.972054058
51.039382771    51.039382771    51.039382771
52.865077185    52.865077185    52.865077185
54.871660949    54.871660949    54.871660949
57.233435121    57.233435121    57.233435121
59.876589578    59.876589578    59.876589578
62.753174730    62.753174730    62.753174730
65.839786142    65.839786142    65.839786142
69.122726454    69.122726454    69.122726454
72.592991009    72.592991009    72.592991009
76.244247166    76.244247166    76.244247166
80.071839071    80.071839071    80.071839071
84.072232583    84.072232583    84.072232583
88.242679080    88.242679080    88.242679080
92.580999372    92.580999372    92.580999372
97.085438414    97.085438414    97.085438414
101.75456410    101.75456410    101.75456410
106.58719473    106.58719473    106.58719473
111.58234573    111.58234573    111.58234573
116.73918981    116.73918981    116.73918981
122.05702654    122.05702654    122.05702654
127.53525895    127.53525895    127.53525895
133.17337509    133.17337509    133.17337509
138.97093353    138.97093353    138.97093353
144.92755166    144.92755166    144.92755166
151.04289635    151.04289635    151.04289635
157.31667627    157.31667627    157.31667627
163.74863564    163.74863564    163.74863564
170.33854904    170.33854904    170.33854904
177.08621710    177.08621710    177.08621710
183.99146295    183.99146295    183.99146295
191.05412915    191.05412915    191.05412915
198.27407519    198.27407519    198.27407519
205.65117528    205.65117528    205.65117528
213.18531655    213.18531655    213.18531655
220.87639745    220.87639745    220.87639745
228.72432642    228.72432642    228.72432642
236.72902069    236.72902069    236.72902069
244.89040531    244.89040531    244.89040531
253.20841226    253.20841226    253.20841226
261.68297967    261.68297967    261.68297967
270.31405118    270.31405118    270.31405118
279.10157536    279.10157536    279.10157536
288.04550517    288.04550517    288.04550517
297.14579755    297.14579755    297.14579755
306.40241300    306.40241300    306.40241300
315.81531522    315.81531522    315.81531522
325.38447082    325.38447082    325.38447082
335.10984904    335.10984904    335.10984904
344.99142150    344.99142150    344.99142150
355.02916199    355.02916199    355.02916199
365.22304624    365.22304624    365.22304624
375.57305179    375.57305179    375.57305179
386.07915781    386.07915781    386.07915781
396.74134497    396.74134497    396.74134497
407.55959528    407.55959528    407.55959528
418.53389204    418.53389204    418.53389204
429.66421965    429.66421965    429.66421965
440.95056359    440.95056359    440.95056359
452.39291032    452.39291032    452.39291032
463.99124716    463.99124716    463.99124716
475.74556227    475.74556227    475.74556227
487.65584457    487.65584457    487.65584457
499.72208368    499.72208368    499.72208368
511.94426985    511.94426985    511.94426985
524.32239396    524.32239396    524.32239396
536.85644742    536.85644742    536.85644742
549.54642216    549.54642216    549.54642216
562.39231061    562.39231061    562.39231061
575.39410560    575.39410560    575.39410560
588.55180042    588.55180042    588.55180042
601.86538872    601.86538872    601.86538872
615.33486451    615.33486451    615.33486451
628.96022215    628.96022215    628.96022215
642.74145629    642.74145629    642.74145629
656.67856189    656.67856189    656.67856189
670.77153416    670.77153416    670.77153416
685.02036860    685.02036860    685.02036860
699.42506092    699.42506092    699.42506092
713.98560706    713.98560706    713.98560706
728.70200318    728.70200318    728.70200318
743.57424562    743.57424562    743.57424562
758.60233092    758.60233092    758.60233092
773.78625579    773.78625579    773.78625579
789.12601709    789.12601709    789.12601709
804.62161186    804.62161186    804.62161186
820.27303726    820.27303726    820.27303726
836.08029059    836.08029059    836.08029059
852.04336929    852.04336929    852.04336929
868.16227092    868.16227092    868.16227092
884.43699314    884.43699314    884.43699314
900.86753373    900.86753373    900.86753373
917.45389057    917.45389057    917.45389057
934.19606163    934.19606163    934.19606163
951.09404498    951.09404498    951.09404498
968.14783878    968.14783878    968.14783878
985.35744125    985.35744125    985.35744125
1002.7228507    1002.7228507    1002.7228507
1020.2440655    1020.2440655    1020.2440655
1037.9210841    1037.9210841    1037.9210841
1055.7539051    1055.7539051    1055.7539051
1073.7425270    1073.7425270    1073.7425270
1091.8869485    1091.8869485    1091.8869485
1110.1871683    1110.1871683    1110.1871683
1128.6431850    1128.6431850    1128.6431850
1147.2549976    1147.2549976    1147.2549976
1166.0226049    1166.0226049    1166.0226049
1184.9460057    1184.9460057    1184.9460057
1204.0252003    1204.0252003    1204.0252003
1223.2602690    1223.2602690    1223.2602690
1242.6545505    1242.6545505    1242.6545505
1262.2866640    1262.2866640    1262.2866640
1283.0089207    1283.0089207    1283.0089207
1308.7936980    1308.7936980    1308.7936980
The Unit Tests have PASSED

