

****************
Part E
****************

Solution for Part E with n = 64, omega = 5, and rho max = 2 took 5.61829 seconds
Reached specified tolerance of (1E-10) in 7376 iterations
This translates to 1.80 iterations/element

Part E Sol w4   numpy .eig      numpy .eigh
********************************************
17.440949567    17.440949567    17.440949567
37.036320343    37.036320343    37.036320343
56.805359786    56.805359786    56.805359786
77.088144000    77.088144000    77.088144000
99.437143209    99.437143209    99.437143209
125.76406970    125.76406970    125.76406970
156.85067735    156.85067735    156.85067735
192.73451123    192.73451123    192.73451123
233.29460539    233.29460539    233.29460539
278.39839409    278.39839409    278.39839409
327.91577428    327.91577428    327.91577428
381.71566329    381.71566329    381.71566329
439.66265497    439.66265497    439.66265497
501.61508008    501.61508008    501.61508008
567.42402157    567.42402157    567.42402157
636.93288852    636.93288852    636.93288852
709.97731540    709.97731540    709.97731540
786.38525676    786.38525676    786.38525676
865.97720487    865.97720487    865.97720487
948.56648863    948.56648863    948.56648863
1033.9596291    1033.9596291    1033.9596291
1121.9567367    1121.9567367    1121.9567367
1212.3519393    1212.3519393    1212.3519393
1304.9338365    1304.9338365    1304.9338365
1399.4859736    1399.4859736    1399.4859736
1495.7873323    1495.7873323    1495.7873323
1593.6128368    1593.6128368    1593.6128368
1692.7338709    1692.7338709    1692.7338709
1792.9188053    1792.9188053    1792.9188053
1893.9335337    1893.9335337    1893.9335337
1995.5420150    1995.5420150    1995.5420150
2097.5068210    2097.5068210    2097.5068210
2199.5896871    2199.5896871    2199.5896871
2301.5520660    2301.5520660    2301.5520660
2403.1556809    2403.1556809    2403.1556809
2504.1630791    2504.1630791    2504.1630791
2604.3381817    2604.3381817    2604.3381817
2703.4468315    2703.4468315    2703.4468315
2801.2573331    2801.2573331    2801.2573331
2897.5409887    2897.5409887    2897.5409887
2992.0726226    2992.0726226    2992.0726226
3084.6310974    3084.6310974    3084.6310974
3174.9998163    3174.9998163    3174.9998163
3262.9672112    3262.9672112    3262.9672112
3348.3272127    3348.3272127    3348.3272127
3430.8796993    3430.8796993    3430.8796993
3510.4309202    3510.4309202    3510.4309202
3586.7938862    3586.7938862    3586.7938862
3659.7887178    3659.7887178    3659.7887178
3729.2429371    3729.2429371    3729.2429371
3794.9916803    3794.9916803    3794.9916803
3856.8777915    3856.8777915    3856.8777915
3914.7517319    3914.7517319    3914.7517319
3968.4711849    3968.4711849    3968.4711849
4017.9001264    4017.9001264    4017.9001264
4062.9068968    4062.9068968    4062.9068968
4103.3602571    4103.3602571    4103.3602571
4139.1209616    4139.1209616    4139.1209616
4170.0218827    4170.0218827    4170.0218827
4195.8109060    4195.8109060    4195.8109060
4215.9534024    4215.9534024    4215.9534024
4231.1973025    4231.1973025    4231.1973025
4249.8658641    4249.8658641    4249.8658641
4278.9457187    4278.9457187    4278.9457187
The Unit Tests have PASSED

