

****************
Part E
****************

Solution for Part E with n = 64, omega = 0, and rho max = 36 took 2.09374 seconds
Reached specified tolerance of (1E-10) in 2641 iterations
This translates to 0.64 iterations/element

Part E Sol w2   numpy .eig      numpy .eigh
********************************************
2.2048444153    2.2048444153    2.2048444153
4.0175158542    4.0175158542    4.0175158542
5.7806557921    5.7806557921    5.7806557921
7.4690450845    7.4690450845    7.4690450845
9.0657880431    9.0657880431    9.0657880431
10.553428635    10.553428635    10.553428635
11.905774578    11.905774578    11.905774578
13.063431277    13.063431277    13.063431277
14.033383800    14.033383800    14.033383800
15.171827478    15.171827478    15.171827478
16.591266323    16.591266323    16.591266323
18.226324741    18.226324741    18.226324741
20.048589760    20.048589760    20.048589760
22.045852119    22.045852119    22.045852119
24.211456721    24.211456721    24.211456721
26.541308972    26.541308972    26.541308972
29.032705579    29.032705579    29.032705579
31.683774432    31.683774432    31.683774432
34.493172451    34.493172451    34.493172451
37.459909162    37.459909162    37.459909162
40.583237600    40.583237600    40.583237600
43.862583827    43.862583827    43.862583827
47.297499772    47.297499772    47.297499772
50.887630756    50.887630756    50.887630756
54.632692599    54.632692599    54.632692599
58.532455127    58.532455127    58.532455127
62.586730097    62.586730097    62.586730097
66.795362204    66.795362204    66.795362204
71.158222286    71.158222286    71.158222286
75.675202141    75.675202141    75.675202141
80.346210516    80.346210516    80.346210516
85.171169970    85.171169970    85.171169970
90.150014407    90.150014407    90.150014407
95.282687111    95.282687111    95.282687111
100.56913917    100.56913917    100.56913917
106.00932821    106.00932821    106.00932821
111.60321736    111.60321736    111.60321736
117.35077440    117.35077440    117.35077440
123.25197106    123.25197106    123.25197106
129.30678246    129.30678246    129.30678246
135.51518661    135.51518661    135.51518661
141.87716404    141.87716404    141.87716404
148.39269742    148.39269742    148.39269742
155.06177131    155.06177131    155.06177131
161.88437189    161.88437189    161.88437189
168.86048677    168.86048677    168.86048677
175.99010483    175.99010483    175.99010483
183.27321603    183.27321603    183.27321603
190.70981131    190.70981131    190.70981131
198.29988247    198.29988247    198.29988247
206.04342207    206.04342207    206.04342207
213.94042334    213.94042334    213.94042334
221.99088013    221.99088013    221.99088013
230.19478681    230.19478681    230.19478681
238.55213825    238.55213825    238.55213825
247.06292973    247.06292973    247.06292973
255.72715696    255.72715696    255.72715696
264.54481595    264.54481595    264.54481595
273.51590306    273.51590306    273.51590306
282.64041500    282.64041500    282.64041500
291.91836008    291.91836008    291.91836008
301.35079797    301.35079797    301.35079797
310.98727187    310.98727187    310.98727187
321.69311808    321.69311808    321.69311808
The Unit Tests have PASSED

