

****************
Part D
****************

Solution for Part D with n = 128, omega = 3, and rho max = 128 took 1.50245 seconds
Reached specified tolerance of (1E-10) in 570 iterations
This translates to 0.03 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
11.842033334  11.842033334  11.842033334
41.427565261  41.427565261  41.427565261
90.647419294  90.647419294  90.647419294
159.56369312  159.56369312  159.56369312
248.17254299  248.17254299  248.17254299
356.47307549  356.47307549  356.47307549
484.46499285  484.46499285  484.46499285
632.14817248  632.14817248  632.14817248
799.52255628  799.52255628  799.52255628
986.58811385  986.58811385  986.58811385
1193.3448279  1193.3448279  1193.3448279
1419.7926883  1419.7926883  1419.7926883
1665.9316885  1665.9316885  1665.9316885
1931.7618241  1931.7618241  1931.7618241
2217.2830924  2217.2830924  2217.2830924
2522.4954913  2522.4954913  2522.4954913
2847.3990194  2847.3990194  2847.3990194
3191.9936755  3191.9936755  3191.9936755
3556.2794591  3556.2794591  3556.2794591
3940.2563694  3940.2563694  3940.2563694
4343.9244060  4343.9244060  4343.9244060
4767.2835685  4767.2835685  4767.2835685
5210.3338568  5210.3338568  5210.3338568
5673.0752705  5673.0752705  5673.0752705
6155.5078095  6155.5078095  6155.5078095
6657.6314736  6657.6314736  6657.6314736
7179.4462627  7179.4462627  7179.4462627
7720.9521768  7720.9521768  7720.9521768
8282.1492157  8282.1492157  8282.1492157
8863.0373794  8863.0373794  8863.0373794
9463.6166678  9463.6166678  9463.6166678
10083.887080  10083.887080  10083.887080
10723.848618  10723.848618  10723.848618
11383.501280  11383.501280  11383.501280
12062.845067  12062.845067  12062.845067
12761.879979  12761.879979  12761.879979
13480.606015  13480.606015  13480.606015
14219.023175  14219.023175  14219.023175
14977.131460  14977.131460  14977.131460
15754.930869  15754.930869  15754.930869
16552.421403  16552.421403  16552.421403
17369.603062  17369.603062  17369.603062
18206.475844  18206.475844  18206.475844
19063.039751  19063.039751  19063.039751
19939.294783  19939.294783  19939.294783
20835.240939  20835.240939  20835.240939
21750.878219  21750.878219  21750.878219
22686.206624  22686.206624  22686.206624
23641.226153  23641.226153  23641.226153
24615.936807  24615.936807  24615.936807
25610.338585  25610.338585  25610.338585
26624.431487  26624.431487  26624.431487
27658.215514  27658.215514  27658.215514
28711.690665  28711.690665  28711.690665
29784.856940  29784.856940  29784.856940
30877.714340  30877.714340  30877.714340
31990.262864  31990.262864  31990.262864
33122.502513  33122.502513  33122.502513
34274.433286  34274.433286  34274.433286
35446.055183  35446.055183  35446.055183
36637.368204  36637.368204  36637.368204
37848.372350  37848.372350  37848.372350
39079.067621  39079.067621  39079.067621
40329.454015  40329.454015  40329.454015
41599.531534  41599.531534  41599.531534
42889.300178  42889.300178  42889.300178
44198.759945  44198.759945  44198.759945
45527.910837  45527.910837  45527.910837
46876.752854  46876.752854  46876.752854
48245.285994  48245.285994  48245.285994
49633.510259  49633.510259  49633.510259
51041.425649  51041.425649  51041.425649
52469.032163  52469.032163  52469.032163
53916.329801  53916.329801  53916.329801
55383.318563  55383.318563  55383.318563
56869.998450  56869.998450  56869.998450
58376.369461  58376.369461  58376.369461
59902.431597  59902.431597  59902.431597
61448.184856  61448.184856  61448.184856
63013.629240  63013.629240  63013.629240
64598.764749  64598.764749  64598.764749
66203.591382  66203.591382  66203.591382
67828.109139  67828.109139  67828.109139
69472.318020  69472.318020  69472.318020
71136.218026  71136.218026  71136.218026
72819.809156  72819.809156  72819.809156
74523.091411  74523.091411  74523.091411
76246.064790  76246.064790  76246.064790
77988.729293  77988.729293  77988.729293
79751.084920  79751.084920  79751.084920
81533.131672  81533.131672  81533.131672
83334.869549  83334.869549  83334.869549
85156.298549  85156.298549  85156.298549
86997.418674  86997.418674  86997.418674
88858.229923  88858.229923  88858.229923
90738.732297  90738.732297  90738.732297
92638.925795  92638.925795  92638.925795
94558.810417  94558.810417  94558.810417
96498.386163  96498.386163  96498.386163
98457.653034  98457.653034  98457.653034
100436.61102  100436.61102  100436.61102
102435.26014  102435.26014  102435.26014
104453.60039  104453.60039  104453.60039
106491.63176  106491.63176  106491.63176
108549.35425  108549.35425  108549.35425
110626.76787  110626.76787  110626.76787
112723.87261  112723.87261  112723.87261
114840.66847  114840.66847  114840.66847
116977.15546  116977.15546  116977.15546
119133.33358  119133.33358  119133.33358
121309.20282  121309.20282  121309.20282
123504.76318  123504.76318  123504.76318
125720.01467  125720.01467  125720.01467
127954.95728  127954.95728  127954.95728
130209.59101  130209.59101  130209.59101
132483.91587  132483.91587  132483.91587
134777.93186  134777.93186  134777.93186
137091.63897  137091.63897  137091.63897
139425.03720  139425.03720  139425.03720
141778.12656  141778.12656  141778.12656
144150.90704  144150.90704  144150.90704
146543.37865  146543.37865  146543.37865
148955.54138  148955.54138  148955.54138
151387.39523  151387.39523  151387.39523
153838.94021  153838.94021  153838.94021
156310.17631  156310.17631  156310.17631
158801.10354  158801.10354  158801.10354
161311.72230  161311.72230  161311.72230
The Unit Tests have PASSED
