

****************
Part D
****************

Solution for Part D with n = 128, omega = 7, and rho max = 6 took 71.6509 seconds
Reached specified tolerance of (1E-10) in 26565 iterations
This translates to 1.62 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
21.179342929  21.179342929  21.179342929
49.327870888  49.327870888  49.327870888
77.367126418  77.367126418  77.367126418
105.29646129  105.29646129  105.29646129
133.11521431  133.11521431  133.11521431
160.82271089  160.82271089  160.82271089
188.41826259  188.41826259  188.41826259
215.90116665  215.90116665  215.90116665
243.27070548  243.27070548  243.27070548
270.52614614  270.52614614  270.52614614
297.66673982  297.66673982  297.66673982
324.69172121  324.69172121  324.69172121
351.60030795  351.60030795  351.60030795
378.39169996  378.39169996  378.39169996
405.06507876  405.06507876  405.06507876
431.61960682  431.61960682  431.61960682
458.05442676  458.05442676  458.05442676
484.36866057  484.36866057  484.36866057
510.56140884  510.56140884  510.56140884
536.63174979  536.63174979  536.63174979
562.57873843  562.57873843  562.57873843
588.40140555  588.40140555  588.40140555
614.09875667  614.09875667  614.09875667
639.66977094  639.66977094  639.66977094
665.11340000  665.11340000  665.11340000
690.42856671  690.42856671  690.42856671
715.61416385  715.61416385  715.61416385
740.66905270  740.66905270  740.66905270
765.59206156  765.59206156  765.59206156
790.38198413  790.38198413  790.38198413
815.03757784  815.03757784  815.03757784
839.55756195  839.55756195  839.55756195
863.94061571  863.94061571  863.94061571
888.18537614  888.18537614  888.18537614
912.29043586  912.29043586  912.29043586
936.25434065  936.25434065  936.25434065
960.07558681  960.07558681  960.07558681
983.75261839  983.75261839  983.75261839
1007.2838241  1007.2838241  1007.2838241
1030.6675341  1030.6675341  1030.6675341
1053.9020163  1053.9020163  1053.9020163
1076.9854726  1076.9854726  1076.9854726
1099.9160347  1099.9160347  1099.9160347
1122.6917593  1122.6917593  1122.6917593
1145.3106232  1145.3106232  1145.3106232
1167.7705180  1167.7705180  1167.7705180
1190.0692437  1190.0692437  1190.0692437
1212.2045020  1212.2045020  1212.2045020
1234.1738896  1234.1738896  1234.1738896
1255.9748892  1255.9748892  1255.9748892
1277.6048611  1277.6048611  1277.6048611
1299.0610329  1299.0610329  1299.0610329
1320.3404886  1320.3404886  1320.3404886
1341.4401554  1341.4401554  1341.4401554
1362.3567903  1362.3567903  1362.3567903
1383.0869637  1383.0869637  1383.0869637
1403.6270416  1403.6270416  1403.6270416
1423.9731647  1423.9731647  1423.9731647
1444.1212253  1444.1212253  1444.1212253
1464.0668405  1464.0668405  1464.0668405
1483.8053224  1483.8053224  1483.8053224
1503.3316450  1503.3316450  1503.3316450
1522.6404121  1522.6404121  1522.6404121
1541.7258311  1541.7258311  1541.7258311
1560.5817083  1560.5817083  1560.5817083
1579.2014925  1579.2014925  1579.2014925
1597.5784047  1597.5784047  1597.5784047
1615.7057021  1615.7057021  1615.7057021
1633.5770954  1633.5770954  1633.5770954
1651.1872622  1651.1872622  1651.1872622
1668.5322435  1668.5322435  1668.5322435
1685.6093274  1685.6093274  1685.6093274
1702.4159524  1702.4159524  1702.4159524
1718.9473581  1718.9473581  1718.9473581
1735.1931836  1735.1931836  1735.1931836
1751.1336445  1751.1336445  1751.1336445
1766.7358789  1766.7358789  1766.7358789
1781.9503811  1781.9503811  1781.9503811
1796.7062614  1796.7062614  1796.7062614
1810.9023532  1810.9023532  1810.9023532
1824.3908118  1824.3908118  1824.3908118
1836.9876667  1836.9876667  1836.9876667
1848.7619560  1848.7619560  1848.7619560
1860.5736327  1860.5736327  1860.5736327
1873.3439742  1873.3439742  1873.3439742
1887.2228821  1887.2228821  1887.2228821
1902.0757936  1902.0757936  1902.0757936
1917.7944797  1917.7944797  1917.7944797
1934.3130392  1934.3130392  1934.3130392
1951.5907232  1951.5907232  1951.5907232
1969.6019920  1969.6019920  1969.6019920
1988.3313509  1988.3313509  1988.3313509
2007.7704672  2007.7704672  2007.7704672
2027.9164541  2027.9164541  2027.9164541
2048.7708017  2048.7708017  2048.7708017
2070.3386977  2070.3386977  2070.3386977
2092.6285955  2092.6285955  2092.6285955
2115.6519500  2115.6519500  2115.6519500
2139.4230742  2139.4230742  2139.4230742
2163.9590886  2163.9590886  2163.9590886
2189.2799471  2189.2799471  2189.2799471
2215.4085299  2215.4085299  2215.4085299
2242.3708009  2242.3708009  2242.3708009
2270.1960308  2270.1960308  2270.1960308
2298.9170892  2298.9170892  2298.9170892
2328.5708154  2328.5708154  2328.5708154
2359.1984815  2359.1984815  2359.1984815
2390.8463633  2390.8463633  2390.8463633
2423.5664457  2423.5664457  2423.5664457
2457.4172955  2457.4172955  2457.4172955
2492.4651452  2492.4651452  2492.4651452
2528.7852514  2528.7852514  2528.7852514
2566.4636122  2566.4636122  2566.4636122
2605.5991647  2605.5991647  2605.5991647
2646.3066357  2646.3066357  2646.3066357
2688.7202982  2688.7202982  2688.7202982
2732.9990168  2732.9990168  2732.9990168
2779.3331680  2779.3331680  2779.3331680
2827.9543793  2827.9543793  2827.9543793
2879.1496482  2879.1496482  2879.1496482
2933.2825584  2933.2825584  2933.2825584
2990.8265883  2990.8265883  2990.8265883
3052.4203360  3052.4203360  3052.4203360
3118.9657475  3118.9657475  3118.9657475
3191.8200457  3191.8200457  3191.8200457
3273.2241980  3273.2241980  3273.2241980
3367.4796220  3367.4796220  3367.4796220
3485.7021782  3485.7021782  3485.7021782
The Unit Tests have PASSED
