

****************
Part D
****************

Solution for Part D with n = 16, omega = 3, and rho max = 36 took 0.00458312 seconds
Reached specified tolerance of (1E-10) in 51 iterations
This translates to 0.20 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
45.289908690  45.289908690  45.289908690
179.82329813  179.82329813  179.82329813
404.04466693  404.04466693  404.04466693
717.95467337  717.95467337  717.95467337
1121.5532764  1121.5532764  1121.5532764
1614.8404668  1614.8404668  1614.8404668
2197.8162412  2197.8162412  2197.8162412
2870.4805984  2870.4805984  2870.4805984
3632.8335377  3632.8335377  3632.8335377
4484.8750589  4484.8750589  4484.8750589
5426.6051617  5426.6051617  5426.6051617
6458.0238461  6458.0238461  6458.0238461
7579.1311120  7579.1311120  7579.1311120
8789.9269593  8789.9269593  8789.9269593
10090.411388  10090.411388  10090.411388
11480.584431  11480.584431  11480.584431
The Unit Tests have PASSED
