

****************
Part D
****************

Solution for Part D with n = 16, omega = 7, and rho max = 128 took 0.0026598 seconds
Reached specified tolerance of (1E-10) in 29 iterations
This translates to 0.11 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
2834.6373544  2834.6373544  2834.6373544
11338.443582  11338.443582  11338.443582
25511.453963  25511.453963  25511.453963
45353.668496  45353.668496  45353.668496
70865.087181  70865.087181  70865.087181
102045.71001  102045.71001  102045.71001
138895.53700  138895.53700  138895.53700
181414.56815  181414.56815  181414.56815
229602.80344  229602.80344  229602.80344
283460.24289  283460.24289  283460.24289
342986.88648  342986.88648  342986.88648
408182.73424  408182.73424  408182.73424
479047.78614  479047.78614  479047.78614
555582.04219  555582.04219  555582.04219
637785.50240  637785.50240  637785.50240
725658.16676  725658.16676  725658.16676
The Unit Tests have PASSED
