

****************
Part D
****************

Solution for Part D with n = 64, omega = 1, and rho max = 128 took 0.181884 seconds
Reached specified tolerance of (1E-10) in 240 iterations
This translates to 0.06 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
8.2686288896  8.2686288896  8.2686288896
31.539848645  31.539848645  31.539848645
70.317893828  70.317893828  70.317893828
124.60785358  124.60785358  124.60785358
194.40941140  194.40941140  194.40941140
279.72249420  279.72249420  279.72249420
380.54707761  380.54707761  380.54707761
496.88315159  496.88315159  496.88315159
628.73071140  628.73071140  628.73071140
776.08975454  776.08975454  776.08975454
938.96027961  938.96027961  938.96027961
1117.3422857  1117.3422857  1117.3422857
1311.2357724  1311.2357724  1311.2357724
1520.6407393  1520.6407393  1520.6407393
1745.5571862  1745.5571862  1745.5571862
1985.9851129  1985.9851129  1985.9851129
2241.9245193  2241.9245193  2241.9245193
2513.3754052  2513.3754052  2513.3754052
2800.3377707  2800.3377707  2800.3377707
3102.8116157  3102.8116157  3102.8116157
3420.7969402  3420.7969402  3420.7969402
3754.2937440  3754.2937440  3754.2937440
4103.3020273  4103.3020273  4103.3020273
4467.8217900  4467.8217900  4467.8217900
4847.8530320  4847.8530320  4847.8530320
5243.3957534  5243.3957534  5243.3957534
5654.4499541  5654.4499541  5654.4499541
6081.0156341  6081.0156341  6081.0156341
6523.0927935  6523.0927935  6523.0927935
6980.6814323  6980.6814323  6980.6814323
7453.7815503  7453.7815503  7453.7815503
7942.3931477  7942.3931477  7942.3931477
8446.5162243  8446.5162243  8446.5162243
8966.1507803  8966.1507803  8966.1507803
9501.2968156  9501.2968156  9501.2968156
10051.954330  10051.954330  10051.954330
10618.123324  10618.123324  10618.123324
11199.803797  11199.803797  11199.803797
11796.995749  11796.995749  11796.995749
12409.699181  12409.699181  12409.699181
13037.914092  13037.914092  13037.914092
13681.640483  13681.640483  13681.640483
14340.878352  14340.878352  14340.878352
15015.627701  15015.627701  15015.627701
15705.888530  15705.888530  15705.888530
16411.660837  16411.660837  16411.660837
17132.944624  17132.944624  17132.944624
17869.739890  17869.739890  17869.739890
18622.046636  18622.046636  18622.046636
19389.864861  19389.864861  19389.864861
20173.194565  20173.194565  20173.194565
20972.035748  20972.035748  20972.035748
21786.388411  21786.388411  21786.388411
22616.252553  22616.252553  22616.252553
23461.628174  23461.628174  23461.628174
24322.515275  24322.515275  24322.515275
25198.913854  25198.913854  25198.913854
26090.823914  26090.823914  26090.823914
26998.245452  26998.245452  26998.245452
27921.178470  27921.178470  27921.178470
28859.622967  28859.622967  28859.622967
29813.578943  29813.578943  29813.578943
30783.046399  30783.046399  30783.046399
31768.025400  31768.025400  31768.025400
The Unit Tests have PASSED
