

****************
Part D
****************

Solution for Part D with n = 64, omega = 11, and rho max = 6 took 3.36638 seconds
Reached specified tolerance of (1E-10) in 4366 iterations
This translates to 1.07 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
32.807685913  32.807685913  32.807685913
75.656409178  75.656409178  75.656409178
117.39319562  117.39319562  117.39319562
157.96872191  157.96872191  157.96872191
197.32567443  197.32567443  197.32567443
235.39636472  235.39636472  235.39636472
272.09922453  272.09922453  272.09922453
307.33340256  307.33340256  307.33340256
340.96990469  340.96990469  340.96990469
372.83580175  372.83580175  372.83580175
402.68270064  402.68270064  402.68270064
430.12163359  430.12163359  430.12163359
454.66826375  454.66826375  454.66826375
477.19190394  477.19190394  477.19190394
501.24179241  501.24179241  501.24179241
528.71788788  528.71788788  528.71788788
559.38420054  559.38420054  559.38420054
592.87628065  592.87628065  592.87628065
628.97767333  628.97767333  628.97767333
667.55366495  667.55366495  667.55366495
708.51384318  708.51384318  708.51384318
751.79428701  751.79428701  751.79428701
797.34809521  797.34809521  797.34809521
845.13987640  845.13987640  845.13987640
895.14232831  895.14232831  895.14232831
947.33400742  947.33400742  947.33400742
1001.6978175  1001.6978175  1001.6978175
1058.2199538  1058.2199538  1058.2199538
1116.8891452  1116.8891452  1116.8891452
1177.6961003  1177.6961003  1177.6961003
1240.6330932  1240.6330932  1240.6330932
1305.6936503  1305.6936503  1305.6936503
1372.8723097  1372.8723097  1372.8723097
1442.1644334  1442.1644334  1442.1644334
1513.5660605  1513.5660605  1513.5660605
1587.0737901  1587.0737901  1587.0737901
1662.6846877  1662.6846877  1662.6846877
1740.3962097  1740.3962097  1740.3962097
1820.2061417  1820.2061417  1820.2061417
1902.1125486  1902.1125486  1902.1125486
1986.1137324  1986.1137324  1986.1137324
2072.2081983  2072.2081983  2072.2081983
2160.3946262  2160.3946262  2160.3946262
2250.6718461  2250.6718461  2250.6718461
2343.0388182  2343.0388182  2343.0388182
2437.4946157  2437.4946157  2437.4946157
2534.0384107  2534.0384107  2534.0384107
2632.6694612  2632.6694612  2632.6694612
2733.3871009  2733.3871009  2733.3871009
2836.1907299  2836.1907299  2836.1907299
2941.0798071  2941.0798071  2941.0798071
3048.0538432  3048.0538432  3048.0538432
3157.1123950  3157.1123950  3157.1123950
3268.2550602  3268.2550602  3268.2550602
3381.4814728  3381.4814728  3381.4814728
3496.7912996  3496.7912996  3496.7912996
3614.1842364  3614.1842364  3614.1842364
3733.6600161  3733.6600161  3733.6600161
3855.2188072  3855.2188072  3855.2188072
3978.8723617  3978.8723617  3978.8723617
4104.8434808  4104.8434808  4104.8434808
4235.4383713  4235.4383713  4235.4383713
4381.9259826  4381.9259826  4381.9259826
4573.9783184  4573.9783184  4573.9783184
The Unit Tests have PASSED
