

****************
Part D
****************

Solution for Part D with n = 16, omega = 3, and rho max = 2 took 0.0365071 seconds
Reached specified tolerance of (1E-10) in 430 iterations
This translates to 1.68 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
9.4452275630  9.4452275630  9.4452275630
22.024464693  22.024464693  22.024464693
35.462979775  35.462979775  35.462979775
51.569342586  51.569342586  51.569342586
71.097365639  71.097365639  71.097365639
93.624839743  93.624839743  93.624839743
118.38179770  118.38179770  118.38179770
144.50348274  144.50348274  144.50348274
171.08234333  171.08234333  171.08234333
197.19624329  197.19624329  197.19624329
221.93427549  221.93427549  221.93427549
244.41788616  244.41788616  244.41788616
263.80542216  263.80542216  263.80542216
279.24032071  279.24032071  279.24032071
290.70126069  290.70126069  290.70126069
304.57157121  304.57157121  304.57157121
The Unit Tests have PASSED
