

****************
Part D
****************

Solution for Part D with n = 64, omega = 3, and rho max = 2 took 5.45244 seconds
Reached specified tolerance of (1E-10) in 7324 iterations
This translates to 1.79 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
9.4856675614  9.4856675614  9.4856675614
22.234129276  22.234129276  22.234129276
36.104249875  36.104249875  36.104249875
53.318331072  53.318331072  53.318331072
75.174669390  75.174669390  75.174669390
101.86590519  101.86590519  101.86590519
133.32919086  133.32919086  133.32919086
169.47454439  169.47454439  169.47454439
210.20675536  210.20675536  210.20675536
255.42435711  255.42435711  255.42435711
305.01796169  305.01796169  305.01796169
358.86940086  358.86940086  358.86940086
416.85139774  416.85139774  416.85139774
478.82753164  478.82753164  478.82753164
544.65236751  544.65236751  544.65236751
614.17168408  614.17168408  614.17168408
687.22276596  687.22276596  687.22276596
763.63474080  763.63474080  763.63474080
843.22895058  843.22895058  843.22895058
925.81935048  925.81935048  925.81935048
1011.2129307  1011.2129307  1011.2129307
1099.2101589  1099.2101589  1099.2101589
1189.6054396  1189.6054396  1189.6054396
1282.1875899  1282.1875899  1282.1875899
1376.7403301  1376.7403301  1376.7403301
1473.0427857  1473.0427857  1473.0427857
1570.8700015  1570.8700015  1570.8700015
1669.9934660  1669.9934660  1669.9934660
1770.1816434  1770.1816434  1770.1816434
1871.2005140  1871.2005140  1871.2005140
1972.8141194  1972.8141194  1972.8141194
2074.7851134  2074.7851134  2074.7851134
2176.8753155  2176.8753155  2176.8753155
2278.8462666  2278.8462666  2278.8462666
2380.4597853  2380.4597853  2380.4597853
2481.4785239  2481.4785239  2481.4785239
2581.6665217  2581.6665217  2581.6665217
2680.7897553  2680.7897553  2680.7897553
2778.6166845  2778.6166845  2778.6166845
2874.9187919  2874.9187919  2874.9187919
2969.4711150  2969.4711150  2969.4711150
3062.0527701  3062.0527701  3062.0527701
3152.4474655  3152.4474655  3152.4474655
3240.4440040  3240.4440040  3240.4440040
3325.8367715  3325.8367715  3325.8367715
3408.4262123  3408.4262123  3408.4262123
3488.0192867  3488.0192867  3488.0192867
3564.4299112  3564.4299112  3564.4299112
3637.4793774  3637.4793774  3637.4793774
3706.9967464  3706.9967464  3706.9967464
3772.8192132  3772.8192132  3772.8192132
3834.7924346  3834.7924346  3834.7924346
3892.7708049  3892.7708049  3892.7708049
3946.6176601  3946.6176601  3946.6176601
3996.2053640  3996.2053640  3996.2053640
4041.4151945  4041.4151945  4041.4151945
4082.1368499  4082.1368499  4082.1368499
4118.2671663  4118.2671663  4118.2671663
4149.7070149  4149.7070149  4149.7070149
4176.3534055  4176.3534055  4176.3534055
4198.0763698  4198.0763698  4198.0763698
4214.6406578  4214.6406578  4214.6406578
4226.4852481  4226.4852481  4226.4852481
4240.4684961  4240.4684961  4240.4684961
The Unit Tests have PASSED
