

****************
Part D
****************

Solution for Part D with n = 128, omega = 11, and rho max = 36 took 2.78329 seconds
Reached specified tolerance of (1E-10) in 1085 iterations
This translates to 0.07 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
29.973353281  29.973353281  29.973353281
65.416962570  65.416962570  65.416962570
112.18940982  112.18940982  112.18940982
178.25445267  178.25445267  178.25445267
263.56526033  263.56526033  263.56526033
367.97203630  367.97203630  367.97203630
491.42482648  491.42482648  491.42482648
633.90320681  633.90320681  633.90320681
795.39752994  795.39752994  795.39752994
975.90274905  975.90274905  975.90274905
1175.4160135  1175.4160135  1175.4160135
1393.9356137  1393.9356137  1393.9356137
1631.4604734  1631.4604734  1631.4604734
1887.9898875  1887.9898875  1887.9898875
2163.5233786  2163.5233786  2163.5233786
2458.0606137  2458.0606137  2458.0606137
2771.6013552  2771.6013552  2771.6013552
3104.1454296  3104.1454296  3104.1454296
3455.6927080  3455.6927080  3455.6927080
3826.2430927  3826.2430927  3826.2430927
4215.7965091  4215.7965091  4215.7965091
4624.3528988  4624.3528988  4624.3528988
5051.9122161  5051.9122161  5051.9122161
5498.4744244  5498.4744244  5498.4744244
5964.0394945  5964.0394945  5964.0394945
6448.6074026  6448.6074026  6448.6074026
6952.1781291  6952.1781291  6952.1781291
7474.7516582  7474.7516582  7474.7516582
8016.3279763  8016.3279763  8016.3279763
8576.9070725  8576.9070725  8576.9070725
9156.4889372  9156.4889372  9156.4889372
9755.0735627  9755.0735627  9755.0735627
10372.660942  10372.660942  10372.660942
11009.251069  11009.251069  11009.251069
11664.843940  11664.843940  11664.843940
12339.439550  12339.439550  12339.439550
13033.037894  13033.037894  13033.037894
13745.638971  13745.638971  13745.638971
14477.242777  14477.242777  14477.242777
15227.849310  15227.849310  15227.849310
15997.458567  15997.458567  15997.458567
16786.070547  16786.070547  16786.070547
17593.685248  17593.685248  17593.685248
18420.302668  18420.302668  18420.302668
19265.922807  19265.922807  19265.922807
20130.545662  20130.545662  20130.545662
21014.171233  21014.171233  21014.171233
21916.799519  21916.799519  21916.799519
22838.430518  22838.430518  22838.430518
23779.064231  23779.064231  23779.064231
24738.700657  24738.700657  24738.700657
25717.339794  25717.339794  25717.339794
26714.981643  26714.981643  26714.981643
27731.626202  27731.626202  27731.626202
28767.273472  28767.273472  28767.273472
29821.923452  29821.923452  29821.923452
30895.576141  30895.576141  30895.576141
31988.231539  31988.231539  31988.231539
33099.889646  33099.889646  33099.889646
34230.550461  34230.550461  34230.550461
35380.213985  35380.213985  35380.213985
36548.880216  36548.880216  36548.880216
37736.549155  37736.549155  37736.549155
38943.220802  38943.220802  38943.220802
40168.895156  40168.895156  40168.895156
41413.572217  41413.572217  41413.572217
42677.251985  42677.251985  42677.251985
43959.934460  43959.934460  43959.934460
45261.619641  45261.619641  45261.619641
46582.307529  46582.307529  46582.307529
47921.998123  47921.998123  47921.998123
49280.691423  49280.691423  49280.691423
50658.387429  50658.387429  50658.387429
52055.086142  52055.086142  52055.086142
53470.787560  53470.787560  53470.787560
54905.491684  54905.491684  54905.491684
56359.198514  56359.198514  56359.198514
57831.908049  57831.908049  57831.908049
59323.620290  59323.620290  59323.620290
60834.335237  60834.335237  60834.335237
62364.052889  62364.052889  62364.052889
63912.773246  63912.773246  63912.773246
65480.496309  65480.496309  65480.496309
67067.222077  67067.222077  67067.222077
68672.950550  68672.950550  68672.950550
70297.681728  70297.681728  70297.681728
71941.415612  71941.415612  71941.415612
73604.152200  73604.152200  73604.152200
75285.891494  75285.891494  75285.891494
76986.633492  76986.633492  76986.633492
78706.378196  78706.378196  78706.378196
80445.125604  80445.125604  80445.125604
82202.875717  82202.875717  82202.875717
83979.628535  83979.628535  83979.628535
85775.384058  85775.384058  85775.384058
87590.142286  87590.142286  87590.142286
89423.903219  89423.903219  89423.903219
91276.666856  91276.666856  91276.666856
93148.433198  93148.433198  93148.433198
95039.202245  95039.202245  95039.202245
96948.973996  96948.973996  96948.973996
98877.748452  98877.748452  98877.748452
100825.52561  100825.52561  100825.52561
102792.30547  102792.30547  102792.30547
104778.08804  104778.08804  104778.08804
106782.87332  106782.87332  106782.87332
108806.66130  108806.66130  108806.66130
110849.45198  110849.45198  110849.45198
112911.24537  112911.24537  112911.24537
114992.04146  114992.04146  114992.04146
117091.84026  117091.84026  117091.84026
119210.64176  119210.64176  119210.64176
121348.44597  121348.44597  121348.44597
123505.25288  123505.25288  123505.25288
125681.06249  125681.06249  125681.06249
127875.87481  127875.87481  127875.87481
130089.68984  130089.68984  130089.68984
132322.50757  132322.50757  132322.50757
134574.32800  134574.32800  134574.32800
136845.15114  136845.15114  136845.15114
139134.97698  139134.97698  139134.97698
141443.80553  141443.80553  141443.80553
143771.63678  143771.63678  143771.63678
146118.47073  146118.47073  146118.47073
148484.30739  148484.30739  148484.30739
150869.14675  150869.14675  150869.14675
153272.98882  153272.98882  153272.98882
155695.90111  155695.90111  155695.90111
The Unit Tests have PASSED
