

****************
Part D
****************

Solution for Part D with n = 128, omega = 7, and rho max = 2 took 81.4105 seconds
Reached specified tolerance of (1E-10) in 29655 iterations
This translates to 1.81 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
21.209446935  21.209446935  21.209446935
49.478689538  49.478689538  49.478689538
77.736011959  77.736011959  77.736011959
105.98586085  105.98586085  105.98586085
134.30490907  134.30490907  134.30490907
163.25427795  163.25427795  163.25427795
194.48362562  194.48362562  194.48362562
229.88887002  229.88887002  229.88887002
270.32052138  270.32052138  270.32052138
315.87241918  315.87241918  315.87241918
366.45036919  366.45036919  366.45036919
421.95363637  421.95363637  421.95363637
482.29921816  482.29921816  482.29921816
547.41780227  547.41780227  547.41780227
617.24817492  617.24817492  617.24817492
691.73336265  691.73336265  691.73336265
770.81821860  770.81821860  770.81821860
854.44792672  854.44792672  854.44792672
942.56706387  942.56706387  942.56706387
1035.1190023  1035.1190023  1035.1190023
1132.0455246  1132.0455246  1132.0455246
1233.2865730  1233.2865730  1233.2865730
1338.7800881  1338.7800881  1338.7800881
1448.4619057  1448.4619057  1448.4619057
1562.2656953  1562.2656953  1562.2656953
1680.1229254  1680.1229254  1680.1229254
1801.9628508  1801.9628508  1801.9628508
1927.7125139  1927.7125139  1927.7125139
2057.2967566  2057.2967566  2057.2967566
2190.6382421  2190.6382421  2190.6382421
2327.6574818  2327.6574818  2327.6574818
2468.2728685  2468.2728685  2468.2728685
2612.4007137  2612.4007137  2612.4007137
2759.9552877  2759.9552877  2759.9552877
2910.8488638  2910.8488638  2910.8488638
3064.9917644  3064.9917644  3064.9917644
3222.2924093  3222.2924093  3222.2924093
3382.6573664  3382.6573664  3382.6573664
3545.9914038  3545.9914038  3545.9914038
3712.1975436  3712.1975436  3712.1975436
3881.1771175  3881.1771175  3881.1771175
4052.8298234  4052.8298234  4052.8298234
4227.0537831  4227.0537831  4227.0537831
4403.7456018  4403.7456018  4403.7456018
4582.8004281  4582.8004281  4582.8004281
4764.1120153  4764.1120153  4764.1120153
4947.5727839  4947.5727839  4947.5727839
5133.0738841  5133.0738841  5133.0738841
5320.5052603  5320.5052603  5320.5052603
5509.7557157  5509.7557157  5509.7557157
5700.7129778  5700.7129778  5700.7129778
5893.2637645  5893.2637645  5893.2637645
6087.2938511  6087.2938511  6087.2938511
6282.6881378  6282.6881378  6282.6881378
6479.3307173  6479.3307173  6479.3307173
6677.1049436  6677.1049436  6677.1049436
6875.8935013  6875.8935013  6875.8935013
7075.5784741  7075.5784741  7075.5784741
7276.0414154  7276.0414154  7276.0414154
7477.1634180  7477.1634180  7477.1634180
7678.8251845  7678.8251845  7678.8251845
7880.9070979  7880.9070979  7880.9070979
8083.2892924  8083.2892924  8083.2892924
8285.8517245  8285.8517245  8285.8517245
8488.4742439  8488.4742439  8488.4742439
8691.0366649  8691.0366649  8691.0366649
8893.4188369  8893.4188369  8893.4188369
9095.5007166  9095.5007166  9095.5007166
9297.1624379  9297.1624379  9297.1624379
9498.2843837  9498.2843837  9498.2843837
9698.7472566  9698.7472566  9698.7472566
9898.4321489  9898.4321489  9898.4321489
10097.220613  10097.220613  10097.220613
10294.994734  10294.994734  10294.994734
10491.637196  10491.637196  10491.637196
10687.031351  10687.031351  10687.031351
10881.061292  10881.061292  10881.061292
11073.611920  11073.611920  11073.611920
11264.569008  11264.569008  11264.569008
11453.819273  11453.819273  11453.819273
11641.250444  11641.250444  11641.250444
11826.751322  11826.751322  11826.751322
12010.211852  12010.211852  12010.211852
12191.523181  12191.523181  12191.523181
12370.577731  12370.577731  12370.577731
12547.269254  12547.269254  12547.269254
12721.492898  12721.492898  12721.492898
12893.145266  12893.145266  12893.145266
13062.124480  13062.124480  13062.124480
13228.330237  13228.330237  13228.330237
13391.663869  13391.663869  13391.663869
13552.028396  13552.028396  13552.028396
13709.328586  13709.328586  13709.328586
13863.471008  13863.471008  13863.471008
14014.364082  14014.364082  14014.364082
14161.918131  14161.918131  14161.918131
14306.045431  14306.045431  14306.045431
14446.660255  14446.660255  14446.660255
14583.678921  14583.678921  14583.678921
14717.019828  14717.019828  14717.019828
14846.603500  14846.603500  14846.603500
14972.352615  14972.352615  14972.352615
15094.192037  15094.192037  15094.192037
15212.048842  15212.048842  15212.048842
15325.852328  15325.852328  15325.852328
15435.534028  15435.534028  15435.534028
15541.027701  15541.027701  15541.027701
15642.269312  15642.269312  15642.269312
15739.196987  15739.196987  15739.196987
15831.750937  15831.750937  15831.750937
15919.873340  15919.873340  15919.873340
16003.508159  16003.508159  16003.508159
16082.600858  16082.600858  16082.600858
16157.097988  16157.097988  16157.097988
16226.946532  16226.946532  16226.946532
16292.092902  16292.092902  16292.092902
16352.481315  16352.481315  16352.481315
16408.051122  16408.051122  16408.051122
16458.732183  16458.732183  16458.732183
16504.436400  16504.436400  16504.436400
16545.040924  16545.040924  16545.040924
16580.350622  16580.350622  16580.350622
16609.999056  16609.999056  16609.999056
16633.484795  16633.484795  16633.484795
16654.120371  16654.120371  16654.120371
16680.339058  16680.339058  16680.339058
16715.823577  16715.823577  16715.823577
16765.594532  16765.594532  16765.594532
The Unit Tests have PASSED
