

****************
Part D
****************

Solution for Part D with n = 64, omega = 11, and rho max = 36 took 0.236883 seconds
Reached specified tolerance of (1E-10) in 305 iterations
This translates to 0.07 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
43.848406309  43.848406309  43.848406309
156.24971103  156.24971103  156.24971103
343.34291761  343.34291761  343.34291761
605.29641470  605.29641470  605.29641470
942.09976345  942.09976345  942.09976345
1353.7505425  1353.7505425  1353.7505425
1840.2479448  1840.2479448  1840.2479448
2401.5916382  2401.5916382  2401.5916382
3037.7814651  3037.7814651  3037.7814651
3748.8173432  3748.8173432  3748.8173432
4534.6992258  4534.6992258  4534.6992258
5395.4270850  5395.4270850  5395.4270850
6331.0009031  6331.0009031  6331.0009031
7341.4206687  7341.4206687  7341.4206687
8426.6863739  8426.6863739  8426.6863739
9586.7980133  9586.7980133  9586.7980133
10821.755583  10821.755583  10821.755583
12131.559080  12131.559080  12131.559080
13516.208502  13516.208502  13516.208502
14975.703848  14975.703848  14975.703848
16510.045117  16510.045117  16510.045117
18119.232307  18119.232307  18119.232307
19803.265419  19803.265419  19803.265419
21562.144450  21562.144450  21562.144450
23395.869401  23395.869401  23395.869401
25304.440271  25304.440271  25304.440271
27287.857061  27287.857061  27287.857061
29346.119769  29346.119769  29346.119769
31479.228396  31479.228396  31479.228396
33687.182941  33687.182941  33687.182941
35969.983404  35969.983404  35969.983404
38327.629786  38327.629786  38327.629786
40760.122085  40760.122085  40760.122085
43267.460302  43267.460302  43267.460302
45849.644438  45849.644438  45849.644438
48506.674490  48506.674490  48506.674490
51238.550461  51238.550461  51238.550461
54045.272349  54045.272349  54045.272349
56926.840155  56926.840155  56926.840155
59883.253878  59883.253878  59883.253878
62914.513518  62914.513518  62914.513518
66020.619077  66020.619077  66020.619077
69201.570552  69201.570552  69201.570552
72457.367945  72457.367945  72457.367945
75788.011256  75788.011256  75788.011256
79193.500483  79193.500483  79193.500483
82673.835628  82673.835628  82673.835628
86229.016691  86229.016691  86229.016691
89859.043671  89859.043671  89859.043671
93563.916568  93563.916568  93563.916568
97343.635382  97343.635382  97343.635382
101198.20011  101198.20011  101198.20011
105127.61076  105127.61076  105127.61076
109131.86732  109131.86732  109131.86732
113210.96981  113210.96981  113210.96981
117364.91821  117364.91821  117364.91821
121593.71253  121593.71253  121593.71253
125897.35276  125897.35276  125897.35276
130275.83891  130275.83891  130275.83891
134729.17098  134729.17098  134729.17098
139257.34897  139257.34897  139257.34897
143860.37287  143860.37287  143860.37287
148538.24270  148538.24270  148538.24270
153290.96064  153290.96064  153290.96064
The Unit Tests have PASSED
