

****************
Part D
****************

Solution for Part D with n = 16, omega = 11, and rho max = 36 took 0.00370312 seconds
Reached specified tolerance of (1E-10) in 46 iterations
This translates to 0.18 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
547.54630337  547.54630337  547.54630337
2188.8473838  2188.8473838  2188.8473838
4924.3491070  4924.3491070  4924.3491070
8754.0515268  8754.0515268  8754.0515268
13677.954640  13677.954640  13677.954640
19696.058445  19696.058445  19696.058445
26808.362943  26808.362943  26808.362943
35014.868133  35014.868133  35014.868133
44315.574015  44315.574015  44315.574015
54710.480590  54710.480590  54710.480590
66199.587856  66199.587856  66199.587856
78782.895814  78782.895814  78782.895814
92460.404465  92460.404465  92460.404465
107232.11380  107232.11380  107232.11380
123098.02384  123098.02384  123098.02384
140058.13457  140058.13457  140058.13457
The Unit Tests have PASSED
