

****************
Part D
****************

Solution for Part D with n = 64, omega = 11, and rho max = 2 took 5.39654 seconds
Reached specified tolerance of (1E-10) in 7276 iterations
This translates to 1.78 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
33.099945774  33.099945774  33.099945774
77.136621742  77.136621742  77.136621742
121.05699220  121.05699220  121.05699220
164.86059058  164.86059058  164.86059058
208.54694673  208.54694673  208.54694673
252.11567786  252.11567786  252.11567786
295.56832146  295.56832146  295.56832146
338.92999528  338.92999528  338.92999528
382.39016689  382.39016689  382.39016689
426.71719923  426.71719923  426.71719923
473.47375964  473.47375964  473.47375964
524.16635096  524.16635096  524.16635096
579.42158881  579.42158881  579.42158881
639.21360682  639.21360682  639.21360682
703.30547780  703.30547780  703.30547780
771.43456445  771.43456445  771.43456445
843.35255172  843.35255172  843.35255172
918.82613698  918.82613698  918.82613698
997.63151638  997.63151638  997.63151638
1079.5496134  1079.5496134  1079.5496134
1164.3628285  1164.3628285  1164.3628285
1251.8529856  1251.8529856  1251.8529856
1341.8001005  1341.8001005  1341.8001005
1433.9816927  1433.9816927  1433.9816927
1528.1724630  1528.1724630  1528.1724630
1624.1442158  1624.1442158  1624.1442158
1721.6659524  1721.6659524  1721.6659524
1820.5040827  1820.5040827  1820.5040827
1920.4227213  1920.4227213  1920.4227213
2021.1840454  2021.1840454  2021.1840454
2122.5486946  2122.5486946  2122.5486946
2224.2762031  2224.2762031  2224.2762031
2326.1254519  2326.1254519  2326.1254519
2427.8551352  2427.8551352  2427.8551352
2529.2242327  2529.2242327  2529.2242327
2629.9924830  2629.9924830  2629.9924830
2729.9208515  2729.9208515  2729.9208515
2828.7719867  2828.7719867  2828.7719867
2926.3106583  2926.3106583  2926.3106583
3022.3041694  3022.3041694  3022.3041694
3116.5227321  3116.5227321  3116.5227321
3208.7397940  3208.7397940  3208.7397940
3298.7322984  3298.7322984  3298.7322984
3386.2808546  3386.2808546  3386.2808546
3471.1697836  3471.1697836  3471.1697836
3553.1869906  3553.1869906  3553.1869906
3632.1235883  3632.1235883  3632.1235883
3707.7731564  3707.7731564  3707.7731564
3779.9304508  3779.9304508  3779.9304508
3848.3892531  3848.3892531  3848.3892531
3912.9388190  3912.9388190  3912.9388190
3973.3579233  3973.3579233  3973.3579233
4029.4045054  4029.4045054  4029.4045054
4080.7965132  4080.7965132  4080.7965132
4127.1727973  4127.1727973  4127.1727973
4168.0004941  4168.0004941  4168.0004941
4202.4328085  4202.4328085  4202.4328085
4231.3671806  4231.3671806  4231.3671806
4262.7153371  4262.7153371  4262.7153371
4301.9686771  4301.9686771  4301.9686771
4349.8603047  4349.8603047  4349.8603047
4407.7979174  4407.7979174  4407.7979174
4479.3462787  4479.3462787  4479.3462787
4574.3575757  4574.3575757  4574.3575757
The Unit Tests have PASSED
