

****************
Part D
****************

Solution for Part D with n = 16, omega = 11, and rho max = 2 took 0.034127 seconds
Reached specified tolerance of (1E-10) in 394 iterations
This translates to 1.54 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
32.598860538  32.598860538  32.598860538
74.577940010  74.577940010  74.577940010
114.66003252  114.66003252  114.66003252
152.68170047  152.68170047  152.68170047
188.42240862  188.42240862  188.42240862
221.56155345  221.56155345  221.56155345
251.58600963  251.58600963  251.58600963
277.92615241  277.92615241  277.92615241
302.41820224  302.41820224  302.41820224
329.97096216  329.97096216  329.97096216
362.29839966  362.29839966  362.29839966
399.27087495  399.27087495  399.27087495
441.59552344  441.59552344  441.59552344
491.75510870  491.75510870  491.75510870
554.79262492  554.79262492  554.79262492
642.00129327  642.00129327  642.00129327
The Unit Tests have PASSED
