

****************
Part D
****************

Solution for Part D with n = 128, omega = 1, and rho max = 6 took 73.546 seconds
Reached specified tolerance of (1E-10) in 28677 iterations
This translates to 1.75 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
4.2412881391  4.2412881391  4.2412881391
9.8927298117  9.8927298117  9.8927298117
15.539836103  15.539836103  15.539836103
21.182602006  21.182602006  21.182602006
26.821022496  26.821022496  26.821022496
32.455092640  32.455092640  32.455092640
38.084811127  38.084811127  38.084811127
43.710253575  43.710253575  43.710253575
49.332530974  49.332530974  49.332530974
54.961359789  54.961359789  54.961359789
60.647053211  60.647053211  60.647053211
66.531808949  66.531808949  66.531808949
72.819797135  72.819797135  72.819797135
79.654393054  79.654393054  79.654393054
87.079054332  87.079054332  87.079054332
95.086557036  95.086557036  95.086557036
103.65775087  103.65775087  103.65775087
112.77420659  112.77420659  112.77420659
122.42029917  122.42029917  122.42029917
132.58278490  132.58278490  132.58278490
143.25009134  143.25009134  143.25009134
154.41175063  154.41175063  154.41175063
166.05800074  166.05800074  166.05800074
178.17951255  178.17951255  178.17951255
190.76720290  190.76720290  190.76720290
203.81210519  203.81210519  203.81210519
217.30527883  217.30527883  217.30527883
231.23774527  231.23774527  231.23774527
245.60044235  245.60044235  245.60044235
260.38419182  260.38419182  260.38419182
275.57967609  275.57967609  275.57967609
291.17742186  291.17742186  291.17742186
307.16778885  307.16778885  307.16778885
323.54096226  323.54096226  323.54096226
340.28694818  340.28694818  340.28694818
357.39557123  357.39557123  357.39557123
374.85647395  374.85647395  374.85647395
392.65911755  392.65911755  392.65911755
410.79278381  410.79278381  410.79278381
429.24657785  429.24657785  429.24657785
448.00943164  448.00943164  448.00943164
467.07010809  467.07010809  467.07010809
486.41720574  486.41720574  486.41720574
506.03916375  506.03916375  506.03916375
525.92426734  525.92426734  525.92426734
546.06065352  546.06065352  546.06065352
566.43631709  566.43631709  566.43631709
587.03911688  587.03911688  587.03911688
607.85678215  607.85678215  607.85678215
628.87691928  628.87691928  628.87691928
650.08701849  650.08701849  650.08701849
671.47446080  671.47446080  671.47446080
693.02652505  693.02652505  693.02652505
714.73039512  714.73039512  714.73039512
736.57316714  736.57316714  736.57316714
758.54185685  758.54185685  758.54185685
780.62340707  780.62340707  780.62340707
802.80469518  802.80469518  802.80469518
825.07254068  825.07254068  825.07254068
847.41371280  847.41371280  847.41371280
869.81493821  869.81493821  869.81493821
892.26290865  892.26290865  892.26290865
914.74428872  914.74428872  914.74428872
937.24572363  937.24572363  937.24572363
959.75384693  959.75384693  959.75384693
982.25528833  982.25528833  982.25528833
1004.7366815  1004.7366815  1004.7366815
1027.1846718  1027.1846718  1027.1846718
1049.5859241  1049.5859241  1049.5859241
1071.9271306  1071.9271306  1071.9271306
1094.1950184  1094.1950184  1094.1950184
1116.3763575  1116.3763575  1116.3763575
1138.4579679  1138.4579679  1138.4579679
1160.4267281  1160.4267281  1160.4267281
1182.2695819  1182.2695819  1182.2695819
1203.9735464  1203.9735464  1203.9735464
1225.5257191  1225.5257191  1225.5257191
1246.9132857  1246.9132857  1246.9132857
1268.1235270  1268.1235270  1268.1235270
1289.1438264  1289.1438264  1289.1438264
1309.9616770  1309.9616770  1309.9616770
1330.5646883  1330.5646883  1330.5646883
1350.9405934  1350.9405934  1350.9405934
1371.0772556  1371.0772556  1371.0772556
1390.9626750  1390.9626750  1390.9626750
1410.5849948  1410.5849948  1410.5849948
1429.9325074  1429.9325074  1429.9325074
1448.9936608  1448.9936608  1448.9936608
1467.7570637  1467.7570637  1467.7570637
1486.2114916  1486.2114916  1486.2114916
1504.3458913  1504.3458913  1504.3458913
1522.1493856  1522.1493856  1522.1493856
1539.6112780  1539.6112780  1539.6112780
1556.7210561  1556.7210561  1556.7210561
1573.4683946  1573.4683946  1573.4683946
1589.8431576  1589.8431576  1589.8431576
1605.8354004  1605.8354004  1605.8354004
1621.4353689  1621.4353689  1621.4353689
1636.6334992  1636.6334992  1636.6334992
1651.4204146  1651.4204146  1651.4204146
1665.7869200  1665.7869200  1665.7869200
1679.7239947  1679.7239947  1679.7239947
1693.2227803  1693.2227803  1693.2227803
1706.2745652  1706.2745652  1706.2745652
1718.8707614  1718.8707614  1718.8707614
1731.0028745  1731.0028745  1731.0028745
1742.6624611  1742.6624611  1742.6624611
1753.8410715  1753.8410715  1753.8410715
1764.5301697  1764.5301697  1764.5301697
1774.7210225  1774.7210225  1774.7210225
1784.4045412  1784.4045412  1784.4045412
1793.5710538  1793.5710538  1793.5710538
1802.2099672  1802.2099672  1802.2099672
1810.3092503  1810.3092503  1810.3092503
1817.8546115  1817.8546115  1817.8546115
1824.8281160  1824.8281160  1824.8281160
1831.2056830  1831.2056830  1831.2056830
1836.9520381  1836.9520381  1836.9520381
1842.0088682  1842.0088682  1842.0088682
1846.2794077  1846.2794077  1846.2794077
1849.8981535  1849.8981535  1849.8981535
1853.8223674  1853.8223674  1853.8223674
1858.6645306  1858.6645306  1858.6645306
1864.4665715  1864.4665715  1864.4665715
1871.3136960  1871.3136960  1871.3136960
1879.4328757  1879.4328757  1879.4328757
1889.3170243  1889.3170243  1889.3170243
1902.2876085  1902.2876085  1902.2876085
The Unit Tests have PASSED
