

****************
Part D
****************

Solution for Part D with n = 128, omega = 7, and rho max = 128 took 1.2234 seconds
Reached specified tolerance of (1E-10) in 464 iterations
This translates to 0.03 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
51.252197771  51.252197771  51.252197771
198.94540930  198.94540930  198.94540930
445.08286701  445.08286701  445.08286701
789.67701059  789.67701059  789.67701059
1232.7270661  1232.7270661  1232.7270661
1774.2328549  1774.2328549  1774.2328549
2414.1943176  2414.1943176  2414.1943176
3152.6114294  3152.6114294  3152.6114294
3989.4841789  3989.4841789  3989.4841789
4924.8125599  4924.8125599  4924.8125599
5958.5965691  5958.5965691  5958.5965691
7090.8362042  7090.8362042  7090.8362042
8321.5314642  8321.5314642  8321.5314642
9650.6823480  9650.6823480  9650.6823480
11078.288855  11078.288855  11078.288855
12604.350985  12604.350985  12604.350985
14228.868737  14228.868737  14228.868737
15951.842112  15951.842112  15951.842112
17773.271110  17773.271110  17773.271110
19693.155729  19693.155729  19693.155729
21711.495971  21711.495971  21711.495971
23828.291834  23828.291834  23828.291834
26043.543320  26043.543320  26043.543320
28357.250427  28357.250427  28357.250427
30769.413156  30769.413156  30769.413156
33280.031507  33280.031507  33280.031507
35889.105480  35889.105480  35889.105480
38596.635075  38596.635075  38596.635075
41402.620291  41402.620291  41402.620291
44307.061129  44307.061129  44307.061129
47309.957589  47309.957589  47309.957589
50411.309670  50411.309670  50411.309670
53611.117374  53611.117374  53611.117374
56909.380699  56909.380699  56909.380699
60306.099645  60306.099645  60306.099645
63801.274214  63801.274214  63801.274214
67394.904404  67394.904404  67394.904404
71086.990215  71086.990215  71086.990215
74877.531649  74877.531649  74877.531649
78766.528704  78766.528704  78766.528704
82753.981381  82753.981381  82753.981381
86839.889679  86839.889679  86839.889679
91024.253599  91024.253599  91024.253599
95307.073141  95307.073141  95307.073141
99688.348305  99688.348305  99688.348305
104168.07909  104168.07909  104168.07909
108746.26549  108746.26549  108746.26549
113422.90752  113422.90752  113422.90752
118198.00517  118198.00517  118198.00517
123071.55844  123071.55844  123071.55844
128043.56734  128043.56734  128043.56734
133114.03185  133114.03185  133114.03185
138282.95199  138282.95199  138282.95199
143550.32775  143550.32775  143550.32775
148916.15913  148916.15913  148916.15913
154380.44613  154380.44613  154380.44613
159943.18875  159943.18875  159943.18875
165604.38700  165604.38700  165604.38700
171364.04086  171364.04086  171364.04086
177222.15035  177222.15035  177222.15035
183178.71546  183178.71546  183178.71546
189233.73620  189233.73620  189233.73620
195387.21255  195387.21255  195387.21255
201639.14452  201639.14452  201639.14452
207989.53212  207989.53212  207989.53212
214438.37534  214438.37534  214438.37534
220985.67418  220985.67418  220985.67418
227631.42864  227631.42864  227631.42864
234375.63872  234375.63872  234375.63872
241218.30443  241218.30443  241218.30443
248159.42576  248159.42576  248159.42576
255199.00270  255199.00270  255199.00270
262337.03528  262337.03528  262337.03528
269573.52347  269573.52347  269573.52347
276908.46728  276908.46728  276908.46728
284341.86672  284341.86672  284341.86672
291873.72177  291873.72177  291873.72177
299504.03245  299504.03245  299504.03245
307232.79875  307232.79875  307232.79875
315060.02067  315060.02067  315060.02067
322985.69822  322985.69822  322985.69822
331009.83138  331009.83138  331009.83138
339132.42017  339132.42017  339132.42017
347353.46458  347353.46458  347353.46458
355672.96461  355672.96461  355672.96461
364090.92026  364090.92026  364090.92026
372607.33153  372607.33153  372607.33153
381222.19843  381222.19843  381222.19843
389935.52094  389935.52094  389935.52094
398747.29908  398747.29908  398747.29908
407657.53284  407657.53284  407657.53284
416666.22222  416666.22222  416666.22222
425773.36723  425773.36723  425773.36723
434978.96785  434978.96785  434978.96785
444283.02410  444283.02410  444283.02410
453685.53597  453685.53597  453685.53597
463186.50346  463186.50346  463186.50346
472785.92657  472785.92657  472785.92657
482483.80530  482483.80530  482483.80530
492280.13965  492280.13965  492280.13965
502174.92963  502174.92963  502174.92963
512168.17523  512168.17523  512168.17523
522259.87645  522259.87645  522259.87645
532450.03329  532450.03329  532450.03329
542738.64575  542738.64575  542738.64575
553125.71384  553125.71384  553125.71384
563611.23755  563611.23755  563611.23755
574195.21687  574195.21687  574195.21687
584877.65182  584877.65182  584877.65182
595658.54239  595658.54239  595658.54239
606537.88859  606537.88859  606537.88859
617515.69040  617515.69040  617515.69040
628591.94784  628591.94784  628591.94784
639766.66090  639766.66090  639766.66090
651039.82958  651039.82958  651039.82958
662411.45388  662411.45388  662411.45388
673881.53380  673881.53380  673881.53380
685450.06935  685450.06935  685450.06935
697117.06051  697117.06051  697117.06051
708882.50730  708882.50730  708882.50730
720746.40971  720746.40971  720746.40971
732708.76774  732708.76774  732708.76774
744769.58139  744769.58139  744769.58139
756928.85067  756928.85067  756928.85067
769186.57557  769186.57557  769186.57557
781542.75608  781542.75608  781542.75608
793997.39222  793997.39222  793997.39222
806550.48407  806550.48407  806550.48407
The Unit Tests have PASSED
