

****************
Part D
****************

Solution for Part D with n = 16, omega = 1, and rho max = 2 took 0.0429258 seconds
Reached specified tolerance of (1E-10) in 432 iterations
This translates to 1.69 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
4.4576519016  4.4576519016  4.4576519016
12.374383261  12.374383261  12.374383261
24.310288320  24.310288320  24.310288320
40.381773160  40.381773160  40.381773160
60.085844779  60.085844779  60.085844779
82.755058480  82.755058480  82.755058480
107.61754443  107.61754443  107.61754443
133.82632175  133.82632175  133.82632175
160.48842054  160.48842054  160.48842054
186.69521340  186.69521340  186.69521340
211.55311563  211.55311563  211.55311563
234.21344636  234.21344636  234.21344636
253.89980900  253.89980900  253.89980900
269.92961833  269.92961833  269.92961833
281.71608014  281.71608014  281.71608014
289.10719518  289.10719518  289.10719518
The Unit Tests have PASSED
