

****************
Part D
****************

Solution for Part D with n = 16, omega = 7, and rho max = 36 took 0.00684309 seconds
Reached specified tolerance of (1E-10) in 50 iterations
This translates to 0.20 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
224.66736701  224.66736701  224.66736701
897.33183037  897.33183037  897.33183037
2018.4390799  2018.4390799  2018.4390799
3587.9892472  3587.9892472  3587.9892472
5605.9823243  5605.9823243  5605.9823243
8072.4183090  8072.4183090  8072.4183090
10987.297201  10987.297201  10987.297201
14350.618999  14350.618999  14350.618999
18162.383705  18162.383705  18162.383705
22422.591317  22422.591317  22422.591317
27131.241836  27131.241836  27131.241836
32288.335261  32288.335261  32288.335261
37893.871593  37893.871593  37893.871593
43947.850832  43947.850832  43947.850832
50450.272977  50450.272977  50450.272977
57401.138036  57401.138036  57401.138036
The Unit Tests have PASSED
