

****************
Part D
****************

Solution for Part D with n = 16, omega = 3, and rho max = 128 took 0.00234699 seconds
Reached specified tolerance of (1E-10) in 29 iterations
This translates to 0.11 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
566.95569336  566.95569336  566.95569336
2267.7169392  2267.7169392  2267.7169392
5102.3190153  5102.3190153  5102.3190153
9070.7619219  9070.7619219  9070.7619219
14173.045658  14173.045658  14173.045658
20409.170226  20409.170226  20409.170226
27779.135624  27779.135624  27779.135624
36282.941852  36282.941852  36282.941852
45920.588911  45920.588911  45920.588911
56692.076800  56692.076800  56692.076800
68597.405520  68597.405520  68597.405520
81636.575070  81636.575070  81636.575070
95809.585451  95809.585451  95809.585451
111116.43666  111116.43666  111116.43666
127557.12870  127557.12870  127557.12870
145131.66157  145131.66157  145131.66157
The Unit Tests have PASSED
